"","Strain","Batch","Class"
"_B2G_WT_1_pos_059","WT","1","Glucose"
"_B2G_WT_2_pos_060","WT","1","Glucose"
"_B2G_rts3_1_pos_063","RTS3","1","Glucose"
"_B2G_rts3_2_pos_064","RTS3","1","Glucose"
"_B2G_rts3_3_pos_065","RTS3","1","Glucose"
"RP_POS_RTS3_4.B5G_039","RTS3","2","Glucose"
"RP_POS_RTS3_1.B7G_048","RTS3","2","Glucose"
"RP_POS_RTS3_2.B5G_061","RTS3","2","Glucose"
"RP_POS_RTS3_1.B5G_064","RTS3","2","Glucose"
"RP_POS_WT_1.B5G_068","WT","2","Glucose"
"RP_POS_WT_1.B7G_075","WT","2","Glucose"
"RP_POS_WT_2.B7G_077","WT","2","Glucose"
"RP_POS_RTS3_3.B5G_080","RTS3","2","Glucose"
