"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X6.188__346.33014__.M.H..__w.o.MS2.icos.19.ene.1.2.4.triol",1.529,-0.46506,9.7279,9.2802e-16,4.1483e-13,25.427
"X6.271__328.31873__.M.H..__w.o.MS2.Stearoyl.Ethanolamide",2.3049,-0.80802,9.2723,8.3597e-15,1.8684e-12,23.264
"X1.084__182.08507__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.511",1.2661,-0.23271,8.8714,5.7804e-14,8.6128e-12,21.362
"X0.72__161.07375__.M.H..__w.o.MS2.MLS001048867.01.1H.indole.3.carboxamide",-3.7732,-0.38681,-8.5842,2.3046e-13,2.5754e-11,20.003
"X5.457__228.19637__.M.H..__Unknown",1.0601,-0.35156,8.4987,3.4767e-13,3.1081e-11,19.599
"X0.692__316.98538__.M.K..__Unknown",-4.441,-1.0963,-8.4447,4.5058e-13,3.3568e-11,19.344
"X0.77__176.09348__.M.H..__Unknown",3.1773,-1.8242,8.3342,7.6578e-13,4.3938e-11,18.823
"X1.076__124.039__.M.H..__Isonicotinic.acid..LC.ESI.QTOF..MS2..CE",2.0707,-0.55175,8.3286,7.8636e-13,4.3938e-11,18.796
"X3.182__186.186__.M.H..__Unknown",-1.5007,-0.30906,-8.1462,1.8835e-12,9.3547e-11,17.938
"X1.069__111.05534__.M.H..__w.o.MS2.1.Acetylimidazole",1.3077,-0.31536,8.1165,2.1711e-12,9.7049e-11,17.799
"X0.729__115.05599__.M.H..__w.o.MS2.Diallyl.Sulfide",-1.9032,0.098992,-8.0835,2.5426e-12,1.0332e-10,17.644
"X0.908__130.0508__.M.H..__w.o.MS2.Pyroglutamic.acid..not.validated..isomer.of.88...PlaSMA.ID.89",2.1161,-0.85248,7.9182,5.5936e-12,2.0491e-10,16.869
"X1.009__74.06__.M.H..__w.o.MS2.N.N.Dimethylformamide",1.698,-0.51338,7.9049,5.9594e-12,2.0491e-10,16.807
"X5.458__250.17918__.M.Na..__w.o.MS2.NCGC00380352.01.5.butyl.4.hydroxy.3.methyl.6..3.methylbut.2.enyl..1H.pyridin.2.one",1.0372,-0.34542,7.8704,7.0224e-12,2.2208e-10,16.646
"X7.569__338.34433__.M.H..__w.o.MS2.Erucamide",1.3288,-0.38898,7.8579,7.4525e-12,2.2208e-10,16.588
"X0.603__246.18408__.M.H..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1031",1.1574,-0.39874,7.6824,1.7149e-11,4.7911e-10,15.77
"X1.289__136.07608__.M.H..__w.o.MS2.3..Aminoacetophenone",1.0057,-0.036614,7.6294,2.2038e-11,5.7946e-10,15.524
"X1.005__148.09651__.M.H..__w.o.MS2.Mevalonic.Acid.Lactone",1.8586,-0.85379,7.5923,2.6271e-11,6.5239e-10,15.351
"X1.611__294.15421__.M.H..__w.o.MS2.N.Fructosyl.isoleucine..PlaSMA.ID.1496",-4.4748,-1.249,-7.5149,3.7859e-11,8.9068e-10,14.993
"X1.997__282.12006__.M.H..__w.o.MS2.N..6.methoxypyridin.3.yl..1.methyl.1H.indole.6.carboxamide",1.0939,-0.28611,7.4916,4.2259e-11,9.445e-10,14.885
"X1.609__276.14343__.M.H.H2O..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1286",-4.042,-1.1197,-7.461,4.8821e-11,1.0392e-09,14.743
"X3.685__190.05157__.M.H..__w.o.MS2.Kynurenic.acid..not.validated...PlaSMA.ID.553",1.4223,-0.39778,7.4284,5.6924e-11,1.1566e-09,14.593
"X4.92__336.2168__.M.H..__Unknown",1.8187,-0.57914,7.3701,7.4886e-11,1.4554e-09,14.324
"X0.705__381.08652__.M.K..__w.o.MS2.Excavatin.L",2.6665,-1.7822,7.2291,1.4505e-10,2.7015e-09,13.676
"X0.666__219.02705__.M.K..__w.o.MS2.THEOBROMINE",-3.027,-0.51702,-7.1873,1.7635e-10,3.1531e-09,13.484
"X1.999__103.05457__.M.H..__w.o.MS2.Unknown..carbon.number.8...PlaSMA.ID.16",0.67723,-0.025595,7.1102,2.5275e-10,4.3453e-09,13.132
"X8.208__523.39435__.M.H..__Unknown",-3.6429,-0.78665,-7.0761,2.9612e-10,4.9025e-09,12.977
"X0.667__147.07874__.M.H..__w.o.MS2.4.ureidobutanoic.acid",2.0304,-1.4866,7.0652,3.1156e-10,4.9739e-09,12.927
"X0.68__446.15997__.M.H..__w.o.MS2.MLS001158243.01.N..2.hydroxy.2.phenylethyl..2..4..4.methoxyphenyl..2.oxochromen.7.yl.oxyacetamide",-3.6764,-1.1875,-6.9296,5.8462e-10,9.0113e-09,12.311
"X0.634__298.10275__.M.H..__w.o.MS2.ACTIPHENOL",4.0915,-1.9619,6.8851,7.1811e-10,1.07e-08,12.109
"X5.679__207.6095__.M.H..__Unknown",-2.0875,-1.0333,-6.8753,7.5126e-10,1.0833e-08,12.065
"X7.023__376.31873__.M.Na..__w.o.MS2.N..3.Methoxybenzyl.palmitamide",2.4689,-0.63856,6.762,1.2664e-09,1.769e-08,11.554
"X1.685__176.07056__.M.H..__w.o.MS2.3.Indoleacetic.acid..CE0..SEOVTRFCIGRIMH.UHFFFAOYSA.N",0.86431,-0.058714,6.7426,1.3847e-09,1.8453e-08,11.467
"X1.29__165.05426__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.333",1.3655,-0.38952,6.7396,1.4036e-09,1.8453e-08,11.454
"X1.038__308.09335__.M.H..__w.o.MS2.Glutathione..reduced.",2.8161,-2.0254,6.6374,2.2419e-09,2.8632e-08,10.996
"X1.805__209.09503__.M.H..__w.o.MS2.MLS000069600.01.CHALCONE614.47.1",1.399,-0.55169,6.5895,2.7903e-09,3.4647e-08,10.782
"X0.717__157.06165__.M.H.H2O..__Unknown",2.8532,-1.6048,6.5374,3.5364e-09,4.2723e-08,10.55
"X2.672__136.06525__.M.H..__Adenine..LC.ESI.QTOF..MS2..CE",2.3682,-1.4998,6.4975,4.2412e-09,4.989e-08,10.373
"X0.682__244.09419__.M.H.H2O..__w.o.MS2.Pesticide3_Carbofuran_C12H15NO3_Furadan",-2.0149,-0.73038,-6.4397,5.511e-09,6.3165e-08,10.117
"X6.081__186.18584__.M.H..__Unknown",0.95387,-0.47814,6.3739,7.4177e-09,8.2893e-08,9.8269
"X0.708__365.11212__.M.Na..__Melibiose",2.8052,-2.1413,6.3438,8.4981e-09,9.265e-08,9.6941
"X0.844__256.08459__.M.H..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1107",2.8189,-1.7154,6.3241,9.2854e-09,9.6897e-08,9.6077
"X0.682__184.07486__.M.H..__w.o.MS2.Phosphocholine",2.4088,-0.99454,6.3232,9.3212e-09,9.6897e-08,9.6039
"X0.685__162.07616__.M.H..__w.o.MS2.N.Methylglutamic.acid",1.5733,-0.47085,6.1907,1.6884e-08,1.7152e-07,9.0244
"X0.726__292.12485__.M.H..__w.o.MS2.Cyproconazole..LC.ESI.ITFT..MS2..CE",-1.7899,0.38407,-6.1774,1.7915e-08,1.7796e-07,8.9665
"X0.701__277.14313__.M.H..__w.o.MS2.3.7.Epoxycaryophyllan.6.Ol",3.6497,-2.3138,6.118,2.3339e-08,2.2679e-07,8.7087
"X0.728__199.01794__.M.K..__w.o.MS2.PUTRESCINE.DIHYDROCHLORIDE",-1.8375,-0.13033,-6.1121,2.3964e-08,2.2791e-07,8.6829
"X0.737__276.99448__.M.H..__Unknown",-1.4017,0.28266,-6.0462,3.2098e-08,2.9891e-07,8.3982
"X1.145__148.05458__.M.H..__w.o.MS2.Glutamic.acid",1.4899,-0.60964,6.0341,3.3862e-08,3.0891e-07,8.346
"X1.574__146.0603__.M.H..__w.o.MS2.4.Hydroxyquinoline..PlaSMA.ID.180",0.9494,-0.25588,5.9886,4.1398e-08,3.701e-07,8.1503
"X5.68__435.33566__.M.H..__w.o.MS2.Unknown..carbon.number.30...PlaSMA.ID.2370",-1.9082,-0.94616,-5.9537,4.8278e-08,4.2314e-07,8.0006
"X4.578__264.23361__.M.H..__w.o.MS2.NCGC00385952.01_C15H26O_1.7.Dimethyl.7..4.methyl.3.penten.1.yl.bicyclo.2.2.1.heptan.2.ol",1.0841,-0.12178,5.8983,6.1562e-08,5.2919e-07,7.764
"X8.786__561.46899__.M.Na..__Unknown",-2.4495,-0.84495,-5.8442,7.801e-08,6.5793e-07,7.5336
"X7.585__360.32657__.M.Na..__w.o.MS2.phenylethylamide.359",1.2801,-0.30011,5.7467,1.1925e-07,9.8716e-07,7.1208
"X5.679__393.2879__.M.H..__Unknown",-1.7017,-0.8195,-5.62,2.0604e-07,1.6745e-06,6.5896
"X0.695__325.11285__.M.H.H2O..__w.o.MS2.Disaccharide.Hex.Hex...PlaSMA.ID.1741",1.8016,-1.1227,5.5766,2.4827e-07,1.9817e-06,6.4085
"X0.921__84.04513__.M.H.H2O..__Unknown",0.64112,-0.18954,5.5636,2.6245e-07,2.0582e-06,6.3546
"X4.291__146.06102__.M.H.H2O..__w.o.MS2.4.Hydroxyquinoline..PlaSMA.ID.180",-1.1524,-0.010338,-5.535,2.9651e-07,2.2852e-06,6.2362
"X6.062__249.18491__.M.H..__w.o.MS2.NCGC00380110.01_C16H26O3_1.Propanone..3.hydroxy.1...1R.2R.4aR.6S.8aS..1.2.4a.5.6.7.8.8a.octahydro.2.hydroxy.1.2.6.trimethyl.1.naphthalenyl..",-0.62197,-0.14484,-5.4603,4.0758e-07,3.0879e-06,5.9276
"X2.379__329.06793__.M.H..__w.o.MS2.aflatoxin.G1",-1.4732,0.12487,-5.4542,4.183e-07,3.1163e-06,5.9024
"X2.672__298.10785__.M.H..__5..S.Methylthioadenosine..LC.ESI.QTOF..MS2..CE",2.4001,-1.7014,5.4427,4.3909e-07,3.2176e-06,5.8554
"X0.802__234.05478__.M.H..__Unknown",3.982,-2.1877,5.4015,5.2266e-07,3.7682e-06,5.6865
"X0.878__72.08057__.M.H..__w.o.MS2.Pyrrolidine..CE0..RWRDLPDLKQPQOW.UHFFFAOYSA.N",0.76755,-0.14505,5.2834,8.5848e-07,6.0911e-06,5.2059
"X0.676__497.04828__.M.H..__Unknown",-3.0434,-0.55966,-5.1254,1.6531e-06,1.1546e-05,4.5722
"X6.536__315.15991__.M.Na..__w.o.MS2.Safranin..LC.ESI.QTOF..MS2..CE",-2.4205,-1.3228,-5.066,2.1103e-06,1.4513e-05,4.3363
"X0.513__265.01523__.M.CH3OH.H..__Unknown",-2.4985,-0.46596,-5.018,2.5675e-06,1.7389e-05,4.147
"X2.338__178.09027__.M.H..__w.o.MS2.C10H11NO2..PlaSMA.ID.458",-0.81665,0.016063,-4.8216,5.6701e-06,3.7829e-05,3.3833
"X6.812__336.32755__.M.H.H2O..__Unknown",3.4195,-2.1649,4.6739,1.0177e-05,6.6898e-05,2.8209
"X0.49__146.1655__.M.H..__w.o.MS2.Spermidine..LC.ESI.QTOF..MS2..CE",1.7684,1.4385,4.638,1.1713e-05,7.5879e-05,2.6859
"X0.725__116.07121__.M.H..__L.....Proline..LC.ESI.QTOF..MS2..CE",1.5542,-1.2453,4.6334,1.1927e-05,7.6163e-05,2.6685
"X3.12__202.18088__.M.H..__Unknown",-0.72588,-0.2006,-4.6207,1.253e-05,7.8889e-05,2.6211
"X2.607__137.07097__.M.H..__w.o.MS2.N.Methylnicotinamide..CE0..ZYVXHFWBYUDDBM.UHFFFAOYSA.N",0.5286,-0.1858,4.5671,1.5437e-05,9.5835e-05,2.421
"X5.678__376.26068__.M.H..__Unknown",-1.6767,-1.1617,-4.5198,1.8536e-05,0.0001135,2.2456
"X7.569__376.30084__.M.K..__Unknown",1.3979,-0.026534,4.4858,2.1128e-05,0.00012763,2.1202
"X0.904__189.12459__.M.H..__w.o.MS2.N6.Acetyl.L.lysine..CE0..DTERQYGMUDWYAZ.ZETCQYMHSA.N",1.4062,-1.1334,4.4706,2.2391e-05,0.0001331,2.0646
"X8.933__381.35046__.M.H..__w.o.MS2.Brassicasterol..LC.APPI.QQ..MS2..CE",-1.1478,-0.52781,-4.4679,2.263e-05,0.0001331,2.0545
"X0.582__445.08026__.M.Na..__w.o.MS2.mangiferin",-0.99573,-1.0762,-4.3809,3.1516e-05,0.00018295,1.7376
"X5.417__353.15726__.M.H..__w.o.MS2.4.decyl.3.hydroxy.5.oxooxolane.2.3.dicarboxylic.acid",2.5298,-1.2971,4.2394,5.3603e-05,0.00030718,1.2306
"X6.46__214.22044__.M.H..__Unknown",-0.40187,-0.1394,-4.1421,7.6794e-05,0.00043452,0.88816
"X5.061__422.17282__.M.H..__w.o.MS2..MLS001141386.01..2S..2..3...10aS..1.3.dioxo.10.10a.dihydro.5H.imidazo.1.5.b.isoquinolin.2.yl.propanoylamino..3.phenylpropanoic.acid.",1.631,-1.3705,4.12,8.3265e-05,0.00046524,0.8112
"X6.845__352.32129__.M.H..__Unknown",3.3869,-2.4866,4.1155,8.4653e-05,0.00046716,0.79548
"X8.208__507.41208__.M.H..__w.o.MS2.Valactamide.A.putative",-1.6685,-0.30834,-4.0854,9.4464e-05,0.00051494,0.69125
"X0.611__99.09321__.M.H..__Unknown",-0.84144,-0.33943,-4.0701,9.9848e-05,0.00053773,0.63858
"X7.181__362.30334__.M.H..__w.o.MS2.NCGC00386000.01.3.pentadecylbenzene.1.2.diol",0.78161,0.17069,4.0502,0.00010734,0.0005712,0.56987
"X1.083__312.11176__.M.H..__w.o.MS2.C11H21NO7S..PlaSMA.ID.1653",-2.1529,-0.45157,-4.021,0.00011928,0.00062727,0.46975
"X6.194__277.18048__.M.H..__w.o.MS2.6.Shogaol",-0.53427,-0.52112,-3.9222,0.0001698,0.00088259,0.13501
"X0.84__204.1227__.M.H..__w.o.MS2.Acetylcarnitine",1.1989,-0.9237,3.8753,0.00020041,0.0010297,-0.02176
"X6.866__303.2326__.M.H..__w.o.MS2.Kaurenic.acid",-0.71901,0.26354,-3.8625,0.00020963,0.0010648,-0.064293
"X4.792__144.13963__.M.H..__Unknown",-0.54592,-0.70581,-3.8478,0.0002208,0.001109,-0.11338
"X5.905__437.19528__.M.Na..__w.o.MS2.NCGC00384865.01.5.hydroxy.7..4.hydroxy.2.methoxy.3..3.methylbut.2.enyl.phenyl..2.2.dimethyl.7.8.dihydropyrano.3.2.g.chromen.6.one",2.3288,-0.77504,3.8429,0.00022455,0.0011153,-0.12929
"X0.584__200.03999__.M.Na..__w.o.MS2.2.amino.3.prop.2.enylsulfinylpropanoic.acid",-0.5019,-0.54236,-3.8331,0.00023246,0.0011419,-0.162
"X0.577__397.98816__.M.H..__Unknown",-0.47456,-0.41122,-3.8212,0.00024232,0.0011745,-0.20122
"X0.895__136.06218__.M.H..__w.o.MS2.Adenine..CE0..GFFGJBXGBJISGV.UHFFFAOYSA.N",1.5408,-1.1156,3.8188,0.00024436,0.0011745,-0.20915
"X0.936__258.10956__.M.H..__w.o.MS2.sn.Glycero.3.phosphocholine..LC.ESI.QTOF..MS2..CE",1.2238,-0.46741,3.7367,0.00032485,0.0015406,-0.47766
"X0.588__268.02832__.M.Na..__Unknown",-0.5225,-0.63211,-3.7344,0.00032742,0.0015406,-0.48508
"X6.228__235.17055__.M.H..__w.o.MS2.Isocurcumenol",-0.39469,-0.46703,-3.7259,0.0003371,0.0015584,-0.51252
"X3.325__171.1026__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.398",-0.37531,-0.26607,-3.725,0.00033818,0.0015584,-0.51554
"X7.183__250.17766__.M.Na..__w.o.MS2.NCGC00380352.01.5.butyl.4.hydroxy.3.methyl.6..3.methylbut.2.enyl..1H.pyridin.2.one",0.77612,0.050028,3.6962,0.00037323,0.0017024,-0.60839
"X0.591__500.03299__.M.Na..__Unknown",1.3052,-1.0569,3.679,0.00039583,0.0017872,-0.66368
"X0.671__104.10736__.M.H..__w.o.MS2.Choline..CE0..OEYIOHPDSNJKLS.UHFFFAOYSA.N",0.6149,-0.28878,3.6236,0.00047766,0.0021351,-0.84028
"X1.082__138.09088__.M.H..__w.o.MS2.Unknown..carbon.number.8...PlaSMA.ID.137",-0.38843,-0.082614,-3.5689,0.00057422,0.0025414,-1.013
"X3.013__164.1441__.M.H..__Unknown",-0.80417,-0.8829,-3.5395,0.00063337,0.0027757,-1.1049
"X0.579__351.98877__.M.Na..__Unknown",-0.64582,-0.73662,-3.5321,0.00064906,0.0028168,-1.1278
"X2.838__384.1286__.M.H..__w.o.MS2.1.hydroxy.4...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxynaphthalene.2.carboxylic.acid",1.1938,-0.83707,3.5274,0.00065932,0.0028338,-1.1425
"X3.853__220.09953__.M.H..__w.o.MS2.Aniracetam",-0.85945,-0.54087,-3.5175,0.00068123,0.0029001,-1.1731
"X1.629__130.06525__.M.H..__w.o.MS2.Indole.3.carbinol..LC.ESI.QTOF..MS2..CE",-2.4184,-1.1933,-3.4903,0.00074537,0.0031208,-1.2572
"X2.993__160.13329__.M.H..__w.o.MS2.4.aminovaleric.acid.betaine..CE0..RXHVPPWXTMHWGY.UHFFFAOYSA.N",-0.50555,0.0248,-3.4896,0.00074703,0.0031208,-1.2593
"X6.403__338.22641__.M.H..__w.o.MS2.Lobeline.Hydrochloride",-0.33689,-0.27203,-3.4797,0.0007719,0.0031948,-1.2899
"X1.072__131.0668__.M.H..__w.o.MS2.PANTOLACTONE",-0.45144,0.0021543,-3.4748,0.00078454,0.0032173,-1.3051
"X5.942__435.21643__.M.K..__w.o.MS2.76.25.5",-0.6814,-0.047307,-3.4117,0.00096414,0.0039179,-1.4975
"X0.575__507.05078__.M.K..__w.o.MS2.ginnalin.A",-0.88315,-0.39876,-3.387,0.0010444,0.0042058,-1.5721
"X0.72__113.00005__.M.H..__Unknown",1.5071,0.81082,3.3482,0.0011835,0.0047235,-1.6885
"X4.418__398.13147__.M.H..__w.o.MS2.MLS001076859.01.",2.5486,-4.7724,3.3282,0.0012621,0.0049924,-1.7482
"X5.903__432.23993__.M.H..__w.o.MS2.N..2....1S.9aR..octahydro.1H.quinolizin.1.yl.methyl..3.oxo.1.2.3.4.tetrahydrobenzo.4.5.imidazo.1.2.a.pyrazin.8.yl.propionamide",-0.50153,-0.11966,-3.3216,0.0012889,0.0050538,-1.7678
"X0.482__112.11213__.M.H..__Unknown",2.0393,1.8593,3.2721,0.0015083,0.0058625,-1.9137
"X3.439__287.09991__.M.H..__5.7.4..Trihydroxy.8.methylflavanone",-0.49255,-0.10002,-3.249,0.0016223,0.0062515,-1.9813
"X0.785__156.07559__.M.H..__w.o.MS2.3..1.Pyrazolyl..alanine",-0.43651,-0.2582,-3.2138,0.0018117,0.0069215,-2.0835
"X2.526__316.21814__.M.H..__w.o.MS2.NCGC00381331.01_C16H26O5_Pentanoic.acid..3.methyl...5.hydroxy.3..hydroxymethyl..6..1.methylethyl..2.oxo.3.cyclohexen.1.yl.ester",-0.39716,-0.070601,-3.2065,0.0018532,0.0070204,-2.1045
"X1.161__98.98388__.M.H..__Unknown",-0.85646,-0.53119,-3.1346,0.0023154,0.0086974,-2.3102
"X4.517__197.08624__.M.H..__w.o.MS2..MLS002207182.01.2..Hydroxy.4..6..dimethoxyacetophenone90.24.4.",-0.41989,-0.38187,-3.0604,0.0029035,0.010816,-2.5186
"X3.092__434.07135__.M.H..__w.o.MS2.MMV676528",0.53971,-0.22322,2.9238,0.0043618,0.016113,-2.8914
"X0.586__56.04954__.M.H..__Unknown",0.49649,-0.20012,2.9186,0.0044279,0.016223,-2.9051
"X1.223__176.96213__.M.H..__Unknown",-0.67143,-0.12711,-2.9046,0.0046132,0.016765,-2.9426
