"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X5.823__253.14127999999999__.M.H..__w.o.MS2.NCGC00169882.02_C14H20O4_.8aR.12S.12aR..12.Hydroxy.4.methyl.4.5.6.7.8.8a.12.12a.octahydro.2H.3.benzoxecine.2.9.1H..dione",1.1655,0.15242,3.3469,0.010463,0.47571,-4.439
"X1.01__397.07754999999997__.M.H..__Unknown",-1.6203,0.089056,-3.3238,0.010825,0.47571,-4.4402
"X0.685__162.07615999999999__.M.H..__w.o.MS2.N.Methylglutamic.acid",2.1104,0.48255,3.3063,0.011107,0.47571,-4.441
"X6.062__249.18491__.M.H..__w.o.MS2.NCGC00380110.01_C16H26O3_1.Propanone..3.hydroxy.1...1R.2R.4aR.6S.8aS..1.2.4a.5.6.7.8.8a.octahydro.2.hydroxy.1.2.6.trimethyl.1.naphthalenyl..",0.76347,-0.38558,3.2986,0.011232,0.47571,-4.4414
"X0.701__277.14312999999999__.M.H..__w.o.MS2.3.7.Epoxycaryophyllan.6.Ol",2.0889,-0.838,3.1685,0.013616,0.47571,-4.448
"X6.781__337.24032999999997__.M.H..__w.o.MS2.bis.2..pyridin.3.yl.piperidin.1.yl.methane",-1.3946,-0.19254,-3.0674,0.015835,0.47571,-4.4534
"X0.582__411.03881999999999__.M.Na..__Unknown",-0.76973,0.56783,-3.0188,0.017034,0.47571,-4.4561
"X5.68__435.33566000000002__.M.H..__w.o.MS2.Unknown..carbon.number.30...PlaSMA.ID.2370",2.1819,-1.5163,2.9701,0.01833,0.47571,-4.4588
"X4.138__241.14152999999999__.M.CH3OH.H..__w.o.MS2.Imiquimod",1.2544,-0.46828,2.9669,0.018418,0.47571,-4.459
"X3.093__486.04108000000002__.M.H..__Unknown",-0.75411,0.46898,-2.9499,0.018896,0.47571,-4.4599
"X1.009__517.02832000000001__.M.K..__w.o.MS2.Isorhamnetin.3.galactoside",-1.8264,-0.81797,-2.8695,0.021343,0.47571,-4.4646
"X0.734__134.1172__.M.H..__Unknown",1.0124,0.034333,2.8374,0.022411,0.47571,-4.4664
"X6.969__335.29126000000002__.M.H..__w.o.MS2.arachidic.acid",-2.9884,-1.2598,-2.7834,0.024333,0.47571,-4.4697
"X6.14__286.32269000000002__.M.H..__Unknown",0.948,0.37485,2.7782,0.024523,0.47571,-4.47
"X5.678__376.26067999999998__.M.H..__Unknown",2.1535,-1.3799,2.7403,0.025985,0.47571,-4.4723
"X5.679__207.6095__.M.H..__Unknown",2.9609,-2.2887,2.7032,0.027503,0.47571,-4.4745
"X6.847__307.20605__.M.Na..__w.o.MS2..1R.3S.5S..8.methyl.8.azabicyclo.3.2.1.octan.3.yl.3.hydroxy.2.phenylpropanoate",1.4863,0.47812,2.6756,0.028693,0.47571,-4.4763
"X1.008__337.05840999999998__.M.K..__w.o.MS2.Velutin",-0.84718,0.15549,-2.658,0.029476,0.47571,-4.4774
"X1.458__366.00011999999998__.M.H..__Unknown",-3.2495,-1.5114,-2.6523,0.029734,0.47571,-4.4777
"X6.539__347.10516000000001__.M.H..__w.o.MS2.Oryzalin",0.88326,-0.40777,2.6078,0.031837,0.47571,-4.4805
"X7.638__562.37445000000002__.M.2H.2.__w.o.MS2.Rhodoxanthin..FAB.EBEB..MS2..m.z",1.8964,0.1176,2.597,0.032369,0.47571,-4.4812
"X3.655__396.15850999999998__.M.H..__w.o.MS2.NCGC00385007.01.methyl.4..1.3.dihydroxy.1..4.hydroxy.3.methoxyphenyl.propan.2.yl.oxy.3.methoxybenzoate",-0.70934,-0.10885,-2.59,0.032723,0.47571,-4.4817
"X2.081__100.07629__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",1.0721,-1.2092,2.5779,0.033337,0.47571,-4.4824
"X0.726__292.12484999999998__.M.H..__w.o.MS2.Cyproconazole..LC.ESI.ITFT..MS2..CE",-1.6572,-0.71407,-2.5771,0.033378,0.47571,-4.4825
"X6.271__328.31873000000002__.M.H..__w.o.MS2.Stearoyl.Ethanolamide",-0.88151,0.57064,-2.5351,0.035608,0.47571,-4.4852
"X6.037__180.13929999999999__.M.H..__w.o.MS2..1..2.6.dimethylphenoxy.propan.2.amine.",1.1457,-0.9715,2.5338,0.035681,0.47571,-4.4853
"X1.361__221.09215__.M.H..__w.o.MS2.5.Hydroxytryptophan",-0.74993,0.13859,-2.5316,0.035799,0.47571,-4.4854
"X6.063__347.14053000000001__.M.Na..__w.o.MS2.N..3.4.dimethoxyphenethyl..1H.indole.3.carboxamide",4.7462,-2.3416,2.5,0.037584,0.47571,-4.4875
"X4.166__427.65363000000002__.M.2H.2.__Unknown",-0.97439,-0.16857,-2.4947,0.037894,0.47571,-4.4879
"X0.68__446.15996999999999__.M.H..__w.o.MS2.MLS001158243.01.N..2.hydroxy.2.phenylethyl..2..4..4.methoxyphenyl..2.oxochromen.7.yl.oxyacetamide",-2.1681,-2.5486,-2.4887,0.038247,0.47571,-4.4883
"X7.223__295.2038__.M.H..__w.o.MS2.ISOPALMITIC.ACID",1.0703,-0.99407,2.4406,0.041195,0.47571,-4.4914
"X5.392__274.28564__.M.H..__Unknown",0.58743,-1.1202,2.4231,0.042325,0.47571,-4.4926
"X2.647__205.08823000000001__.M.H..__w.o.MS2.1..4.hydroxy.3..3.methylbut.2.enyl.phenyl.ethanone",2.3774,-0.35234,2.3892,0.044596,0.47571,-4.4949
