"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X4.645__540.21258999999998__.M.H..__w.o.MS2.NCGC00385813.01_C25H30O12_.5E..5..2..beta.D.Glucopyranosyloxy.ethylidene..4....2E..3..4.hydroxy.3.methoxyphenyl..2.propenoyl.oxy..2.methyl.1.cyclopentene.1.carboxylic.acid",4.5127,-1.109,4.4345,0.0024776,0.5027,-2.4193
"X0.986__168.99323999999999__.M.H..__w.o.MS2.Phosphoenolpyruvic.acid",-0.70269,-0.1897,-4.2276,0.0032408,0.5027,-2.5199
"X1.223__176.96213__.M.H..__Unknown",-1.2186,-1.1354,-3.9927,0.0044307,0.5027,-2.6424
"X0.68__446.15996999999999__.M.H..__w.o.MS2.MLS001158243.01.N..2.hydroxy.2.phenylethyl..2..4..4.methoxyphenyl..2.oxochromen.7.yl.oxyacetamide",-5.93,-4.2468,-3.6305,0.0072914,0.5027,-2.8489
"X0.984__247.03163000000001__.M.H..__w.o.MS2.columbianetin",-0.84736,0.14914,-3.533,0.0083644,0.5027,-2.9082
"X6.442__427.07104__.M.K..__Unknown",1.4482,-3.687,3.5072,0.0086763,0.5027,-2.9243
"X1.61__136.06087__.M.H..__Adenine..LC.ESI.QTOF..MS2..CE",0.95279,-0.722,3.3801,0.010402,0.5027,-3.0046
"X4.651__362.09793000000002__.M.2H.2.__w.o.MS2.Moguisteine",-0.72187,-0.0054435,-3.2413,0.012711,0.5027,-3.0956
"X0.986__267.02999999999997__.M.Na..__Unknown",-0.67359,0.47459,-3.2194,0.013122,0.5027,-3.1102
"X0.799__146.11668__.M.H..__w.o.MS2.Acetylcholine..LC.ESI.QTOF..MS2..CE",0.74732,-0.36285,3.1711,0.014081,0.5027,-3.1428
"X0.685__162.07615999999999__.M.H..__w.o.MS2.N.Methylglutamic.acid",1.4885,0.17588,3.0664,0.016421,0.5027,-3.2148
"X6.675__501.08786__.M.K..__w.o.MS2.6...6.8.dihydroxy.7.methoxy.3.methyl.1.oxo.3.4.dihydroisochromen.4.yl.oxy..4.8.dihydroxy.7.methoxy.3.methyl.3.4.dihydroisochromen.1.one",1.7575,-4.8787,2.947,0.019598,0.5027,-3.2991
"X6.676__485.12228__.M.Na..__Hispiduloside",2.1359,-5.4953,2.8835,0.021541,0.5027,-3.3447
"X5.693__239.16209000000001__.M.H..__w.o.MS2.3.hydroxy.5.5.8a.trimethyl.3.4.4a.6.7.8.hexahydronaphthalene.2.carboxylic.acid",-0.79525,-0.93027,-2.8823,0.02158,0.5027,-3.3456
"X6.781__337.24032999999997__.M.H..__w.o.MS2.bis.2..pyridin.3.yl.piperidin.1.yl.methane",-1.4243,-0.23662,-2.8564,0.022432,0.5027,-3.3644
"X6.539__347.10516000000001__.M.H..__w.o.MS2.Oryzalin",1.1775,-0.29146,2.7803,0.025144,0.5027,-3.4203
"X1.008__337.05840999999998__.M.K..__w.o.MS2.Velutin",-1.1482,0.049189,-2.7589,0.025968,0.5027,-3.4362
"X6.442__411.09656__.M.Na..__Unknown",1.1936,-3.7185,2.6716,0.029623,0.5027,-3.5017
"X3.853__418.14182__.M.Na..__w.o.MS2.Atalaphylline",-0.62293,0.063519,-2.6434,0.030914,0.5027,-3.523
"X0.701__277.14312999999999__.M.H..__w.o.MS2.3.7.Epoxycaryophyllan.6.Ol",1.7816,-0.97401,2.6372,0.031206,0.5027,-3.5277
"X0.579__481.94720000000001__.M.H..__Unknown",-0.51904,-0.48066,-2.6213,0.031963,0.5027,-3.5398
"X2.263__138.05547000000001__.M.H..__w.o.MS2.Unknown..carbon.number.7...PlaSMA.ID.134",-0.38768,0.048568,-2.5994,0.033044,0.5027,-3.5565
"X4.921__533.18768__.M.2H.2.__Unknown",-1.998,-0.2886,-2.5738,0.034353,0.5027,-3.5761
"X6.479__295.23615000000001__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1528",3.9704,-2.1291,2.5699,0.034556,0.5027,-3.5791
"X6.636__469.14159999999998__.M.H..__w.o.MS2.Unknown..carbon.number.20...PlaSMA.ID.2546",-1.3975,-1.9765,-2.5672,0.034696,0.5027,-3.5811
"X1.61__268.10373__.M.H..__Adenosine..LC.ESI.QTOF..MS2..CE",0.95039,-1.2285,2.5471,0.035773,0.5027,-3.5966
"X6.037__180.13929999999999__.M.H..__w.o.MS2..1..2.6.dimethylphenoxy.propan.2.amine.",0.81968,-1.1322,2.528,0.036827,0.5027,-3.6114
