"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X8.208__507.41208__.M.H..__w.o.MS2.Valactamide.A.putative",-1.5334,-2.0014,-4.282,0.0022545,0.47419,-1.8396
"X6.616__385.17764__.M.H..__w.o.MS2..4aR..5.hydroxy.6.methoxy.1.1.dimethyl.7.propan.2.yl.2.3.4.9.10.10a.hexahydrophenanthrene.4a.carboxylic.acid",-0.79309,0.404,-4.2416,0.0023885,0.47419,-1.8702
"X1.348__200.97656000000001__.M.H..__Unknown",1.2319,0.24371,3.8437,0.0042717,0.47419,-2.1885
"X1.584__133.03191000000001__.M.H..__Unknown",1.3404,0.36375,3.8421,0.0042816,0.47419,-2.1898
"X1.458__366.00011999999998__.M.H..__Unknown",1.2166,0.5381,3.6515,0.0057012,0.48289,-2.3528
"X2.241__162.05575999999999__.M.H..__w.o.MS2..MLS000860043.01.1.5.Isoquinolinediol.",0.80271,0.63261,3.512,0.0070514,0.48289,-2.4763
"X0.428__136.93093999999999__.M.H..__Unknown",2.0378,-0.23756,3.4278,0.0080264,0.48289,-2.5525
"X7.569__376.30083999999999__.M.K..__Unknown",-2.6332,0.1708,-3.3741,0.0087204,0.48289,-2.6018
"X5.377__113.06165__.M.H..__w.o.MS2.1.2.Cyclohexanedione",-0.6119,0.076356,-3.005,0.015558,0.59261,-2.9533
"X7.533__373.23192999999998__.M.H..__w.o.MS2.5..5.methoxycarbonyl.5.8a.dimethyl.2.methylidene.3.4.4a.6.7.8.hexahydro.1H.naphthalen.1.yl..3.methylpentanoic.acid",-0.66599,-0.062968,-2.9681,0.016495,0.59261,-2.9895
"X5.073__511.68524000000002__.M.2H.2.__Unknown",0.44852,0.29925,2.7696,0.022644,0.59261,-3.1878
"X2.434__409.18682999999999__.M.H..__w.o.MS2.eudesmin",0.95065,0.12631,2.7525,0.023275,0.59261,-3.2051
"X0.591__226.04044999999999__.M.H..__Unknown",-0.73661,-0.28808,-2.6586,0.027061,0.59261,-3.3006
"X7.585__360.32657__.M.Na..__w.o.MS2.phenylethylamide.359",-1.539,-0.053222,-2.6258,0.028526,0.59261,-3.3341
"X4.575__231.10056__.M.H..__w.o.MS2.MLS000069555.01.NAPROXEN.SODIUM",-1.2807,-1.297,-2.5736,0.031024,0.59261,-3.3877
"X7.883__521.38726999999994__.M.H..__Unknown",-0.64234,-0.27039,-2.5536,0.032038,0.59261,-3.4083
"X8.613__379.33453__.M.H..__Unknown",-0.53563,-0.39774,-2.5006,0.034892,0.59261,-3.463
"X0.605__364.05880999999999__.M.H..__w.o.MS2.Guanosine.5..monophosphate..LC.ESI.QTOF..MS2..CE",-1.3194,0.040734,-2.4851,0.035774,0.59261,-3.479
"X3.095__162.03931__.M.H..__Unknown",0.40453,-0.20938,2.4789,0.036135,0.59261,-3.4854
"X6.062__249.18491__.M.H..__w.o.MS2.NCGC00380110.01_C16H26O3_1.Propanone..3.hydroxy.1...1R.2R.4aR.6S.8aS..1.2.4a.5.6.7.8.8a.octahydro.2.hydroxy.1.2.6.trimethyl.1.naphthalenyl..",-0.44036,-0.95792,-2.4786,0.036155,0.59261,-3.4858
"X6.46__214.22044__.M.H..__Unknown",-0.46273,-0.53768,-2.4636,0.037041,0.59261,-3.5013
"X0.928__183.91463999999999__.M.H..__Unknown",1.968,0.29466,2.447,0.038044,0.59261,-3.5185
"X0.615__256.00081999999998__.M.H..__w.o.MS2.methyl.2...2.3.dihydroxybenzoyl.amino..3.hydroxypropanoate",-0.64451,-0.42261,-2.4453,0.038148,0.59261,-3.5203
"X6.691__228.24010999999999__.M.H..__Unknown",-0.50476,-0.54001,-2.422,0.039608,0.59261,-3.5444
"X0.986__168.99323999999999__.M.H..__w.o.MS2.Phosphoenolpyruvic.acid",-1.0687,-0.29282,-2.385,0.042038,0.59261,-3.5828
"X7.123__365.34528__.M.H..__w.o.MS2.Heneicosanoic.acid..21.0.",-1.3724,0.45178,-2.3693,0.043115,0.59261,-3.5991
"X6.228__235.17054999999999__.M.H..__w.o.MS2.Isocurcumenol",-0.40556,-0.76363,-2.3575,0.04394,0.59261,-3.6113
"X6.536__315.15991000000002__.M.Na..__w.o.MS2.Safranin..LC.ESI.QTOF..MS2..CE",-2.2706,-5.3058,-2.3496,0.044507,0.59261,-3.6196
"X4.147__223.13869__.M.H..__w.o.MS2.Unknown..carbon.number.13...PlaSMA.ID.849",0.9265,-0.86023,2.3254,0.046276,0.59261,-3.6448
"X6.442__427.07104__.M.K..__Unknown",0.76598,-3.6779,2.3081,0.047579,0.59261,-3.6628
"X5.757__275.16208__.M.H..__w.o.MS2.NCGC00380303.01..E..7.methylidene.10.oxo.4.propan.2.ylundec.5.enoic.acid",-0.43893,-0.67647,-2.2841,0.049451,0.59261,-3.6877
"X0.788__252.92823999999999__.M.H..__Unknown",-1.217,0.61,-2.2822,0.049608,0.59261,-3.6898
