"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X0.676__497.04827999999998__.M.H..__Unknown",2.5862,-1.9073,4.2628,0.0022386,0.31428,-1.6743
"X4.645__540.21258999999998__.M.H..__w.o.MS2.NCGC00385813.01_C25H30O12_.5E..5..2..beta.D.Glucopyranosyloxy.ethylidene..4....2E..3..4.hydroxy.3.methoxyphenyl..2.propenoyl.oxy..2.methyl.1.cyclopentene.1.carboxylic.acid",4.6357,-0.99516,4.0561,0.0030269,0.31428,-1.8526
"X0.799__146.11668__.M.H..__w.o.MS2.Acetylcholine..LC.ESI.QTOF..MS2..CE",1.2342,-0.091307,4.0073,0.0032531,0.31428,-1.8959
"X4.651__362.09793000000002__.M.2H.2.__w.o.MS2.Moguisteine",-1.1554,-0.28345,-3.8239,0.0042785,0.31428,-2.0626
"X0.586__212.85091__.M.K..__Unknown",-1.2969,0.23881,-3.6929,0.005217,0.31428,-2.1855
"X4.019__162.0925__.M.H..__w.o.MS2.Tryptophol",-1.3721,1.0986,-3.6695,0.0054066,0.31428,-2.2078
"X7.279__346.25882000000001__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1904",-2.6014,-1.2367,-3.667,0.0054279,0.31428,-2.2102
"X7.223__295.2038__.M.H..__w.o.MS2.ISOPALMITIC.ACID",2.0846,-0.49,3.5343,0.0066544,0.31428,-2.3386
"X0.588__113.10735__.M.H..__Unknown",0.87353,-0.034717,3.5018,0.0069966,0.31428,-2.3705
"X4.648__350.11606__.M.2H.2.__w.o.MS2.MMV688889",-5.546,-3.1986,-3.4928,0.0070944,0.31428,-2.3793
"X4.648__540.18829000000005__.M.H..__Unknown",-4.7371,-2.6119,-3.2974,0.0096239,0.38715,-2.5755
"X7.638__562.37445000000002__.M.2H.2.__w.o.MS2.Rhodoxanthin..FAB.EBEB..MS2..m.z",1.4903,-0.16063,3.2091,0.01106,0.38715,-2.6661
"X4.138__241.14152999999999__.M.CH3OH.H..__w.o.MS2.Imiquimod",1.0872,-0.56309,3.1786,0.011606,0.38715,-2.6978
"X8.272__549.42273__.M.H..__Unknown",1.0487,0.5555,3.1407,0.012325,0.38715,-2.7372
"X6.138__299.16370000000001__.M.H..__w.o.MS2.MLS002154028.01.Trimeprazine.tartrate4330.99.8",0.81431,-0.82887,3.0934,0.013287,0.38715,-2.7868
"X0.701__277.14312999999999__.M.H..__w.o.MS2.3.7.Epoxycaryophyllan.6.Ol",3.0292,-0.46215,3.0613,0.013983,0.38715,-2.8206
"X1.086__162.06247999999999__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.300",2.3394,0.63617,2.9863,0.015762,0.41075,-2.9002
"X1.61__136.06087__.M.H..__Adenine..LC.ESI.QTOF..MS2..CE",1.1919,-0.45827,2.8461,0.019739,0.48541,-3.0508
"X4.147__223.13869__.M.H..__w.o.MS2.Unknown..carbon.number.13...PlaSMA.ID.849",1.1329,-0.7548,2.813,0.020819,0.48541,-3.0867
"X2.435__160.07657__.M.H..__w.o.MS2.Unknown..carbon.number.10...PlaSMA.ID.289",-0.75808,0.22174,-2.7231,0.024069,0.53313,-3.1847
"X6.129__337.07611__.M.Na..__7.8.dihydroxy.5.6.dimethoxy.2.phenyl.4H.chromen.4.one",-0.87563,-2.9955,-2.6228,0.02831,0.57326,-3.295
"X1.008__472.12173000000001__.M.H..__Unknown",-1.4561,0.066806,-2.4598,0.036873,0.57326,-3.4757
"X5.377__113.06165__.M.H..__w.o.MS2.1.2.Cyclohexanedione",-0.98169,-0.18386,-2.4413,0.037992,0.57326,-3.4962
"X6.479__295.23615000000001__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1528",3.9199,-2.1152,2.4379,0.038204,0.57326,-3.5
"X1.009__519.01464999999996__.M.H..__Unknown",-1.5121,-0.37686,-2.4201,0.039326,0.57326,-3.5198
"X3.444__350.11617999999999__.M.H..__w.o.MS2.MMV688889",-1.3939,-0.70894,-2.4142,0.039699,0.57326,-3.5263
"X5.061__422.17282__.M.H..__w.o.MS2..MLS001141386.01..2S..2..3...10aS..1.3.dioxo.10.10a.dihydro.5H.imidazo.1.5.b.isoquinolin.2.yl.propanoylamino..3.phenylpropanoic.acid.",-2.0466,-1.9169,-2.3745,0.042341,0.57326,-3.5706
"X6.675__501.08786__.M.K..__w.o.MS2.6...6.8.dihydroxy.7.methoxy.3.methyl.1.oxo.3.4.dihydroisochromen.4.yl.oxy..4.8.dihydroxy.7.methoxy.3.methyl.3.4.dihydroisochromen.1.one",1.3244,-4.5793,2.3683,0.042765,0.57326,-3.5774
"X5.679__207.6095__.M.H..__Unknown",2.3001,-2.2496,2.3454,0.044387,0.57326,-3.603
"X6.063__229.11754999999999__.M.H..__w.o.MS2.Proline.hydroxyproline",1.141,-0.68095,2.324,0.045954,0.57326,-3.6269
"X6.063__347.14053000000001__.M.Na..__w.o.MS2.N..3.4.dimethoxyphenethyl..1H.indole.3.carboxamide",4.7114,-2.336,2.3207,0.046199,0.57326,-3.6305
"X6.037__180.13929999999999__.M.H..__w.o.MS2..1..2.6.dimethylphenoxy.propan.2.amine.",0.95064,-1.0525,2.3204,0.046218,0.57326,-3.6308
"X4.647__160.04292000000001__.M.H..__w.o.MS2.Brompheniramine",-0.50071,-0.18623,-2.3056,0.047343,0.57326,-3.6473
"X5.375__325.10736000000003__.M.K..__w.o.MS2.NCGC00169103.03_C19H18O6_Benz.3.4.anthra.1.2.b.oxirene.5.6.dione..1a.2.3.4.5b.11.11a.11b.octahydro.10.11.11a.trihydroxy.3.methyl.",-3.4883,-1.7753,-2.297,0.048005,0.57326,-3.6569
"X1.611__294.15420999999998__.M.H..__w.o.MS2.N.Fructosyl.isoleucine..PlaSMA.ID.1496",2.6789,-3.2488,2.2563,0.051275,0.57326,-3.7023
"X2.263__138.05547000000001__.M.H..__w.o.MS2.Unknown..carbon.number.7...PlaSMA.ID.134",-0.47584,-0.030238,-2.2465,0.052095,0.57326,-3.7132
"X3.78__183.06880000000001__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.514",0.45769,-0.10548,2.1956,0.056559,0.57326,-3.7698
"X0.58__493.00060999999999__.M.K..__Unknown",-0.77926,0.92249,-2.195,0.056608,0.57326,-3.7704
"X1.161__98.983879999999999__.M.H..__Unknown",2.019,-0.28148,2.1681,0.059121,0.57326,-3.8003
"X1.631__175.08632__.M.H..__w.o.MS2.Unknown..carbon.number.8...PlaSMA.ID.417",-0.7985,-0.01212,-2.1568,0.060211,0.57326,-3.8128
"X3.599__499.16753999999997__.M.H..__w.o.MS2.Mundulone.Acetate",-2.7028,-1.4214,-2.1552,0.060366,0.57326,-3.8146
"X6.777__309.28003000000001__.M.H..__w.o.MS2.Sclareol",0.68467,0.066428,2.1498,0.060886,0.57326,-3.8205
"X0.584__200.03999__.M.Na..__w.o.MS2.2.amino.3.prop.2.enylsulfinylpropanoic.acid",0.65734,-0.61657,2.1318,0.062678,0.57326,-3.8405
"X6.606__462.30016999999998__.M.H..__Unknown",0.67408,0.011618,2.1237,0.063503,0.57326,-3.8495
"X3.991__160.04408000000001__.M.H..__w.o.MS2.Brompheniramine",-0.4361,0.022713,-2.1194,0.063947,0.57326,-3.8543
"X0.579__351.98876999999999__.M.Na..__Unknown",0.85115,-0.78375,2.1176,0.064129,0.57326,-3.8562
"X0.734__134.1172__.M.H..__Unknown",0.58441,-0.15476,2.1162,0.064278,0.57326,-3.8578
"X3.093__486.04108000000002__.M.H..__Unknown",-0.69374,0.52575,-2.111,0.064816,0.57326,-3.8636
"X0.908__130.05080000000001__.M.H..__w.o.MS2.Pyroglutamic.acid..not.validated..isomer.of.88...PlaSMA.ID.89",1.743,0.025071,2.0906,0.066977,0.57326,-3.8861
"X6.01__387.19376__.M.H..__w.o.MS2.2..4a.methyl.8.methylidene.4..3.methylpentanoyloxy..1.2.3.4.5.6.7.8a.octahydronaphthalen.2.yl.prop.2.enoic.acid",-0.88218,-0.42187,-2.0772,0.068433,0.57326,-3.9009
"X0.684__97.028559999999999__.M.H..__w.o.MS2.Propionic.acid",3.7916,-2.8677,2.0666,0.069609,0.57326,-3.9126
"X6.098__98.985680000000002__.M.H..__Unknown",0.91635,-0.7203,2.0416,0.072448,0.57326,-3.9401
"X5.073__511.68524000000002__.M.2H.2.__Unknown",-4.1466,-2.2843,-2.0258,0.074308,0.57326,-3.9576
"X1.459__263.19690000000003__.M.H..__w.o.MS2.7..2.hydroxypropan.2.yl..1.4a.dimethyl.2.3.4.5.6.7.8.8a.octahydronaphthalen.1.ol",1.5964,0.83014,1.9899,0.078693,0.57326,-3.9969
"X0.705__381.08652000000001__.M.K..__w.o.MS2.Excavatin.L",1.5377,-0.72213,1.9885,0.078879,0.57326,-3.9985
"X0.708__365.11212__.M.Na..__Melibiose",1.6176,-0.94545,1.9816,0.079746,0.57326,-4.0061
"X1.008__337.05840999999998__.M.K..__w.o.MS2.Velutin",-0.66168,0.23258,-1.9784,0.080161,0.57326,-4.0096
"X7.585__360.32657__.M.Na..__w.o.MS2.phenylethylamide.359",-0.9921,0.28723,-1.9757,0.080498,0.57326,-4.0125
"X0.726__292.12484999999998__.M.H..__w.o.MS2.Cyproconazole..LC.ESI.ITFT..MS2..CE",-1.1049,-0.3645,-1.9574,0.082887,0.57326,-4.0325
"X2.682__505.18524000000002__.M.H..__w.o.MS2.2..2.6.bis.3.methylbut.2.enyl..4...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyphenyl..2.hydroxyacetic.acid",-2.6347,-1.0793,-1.9476,0.084188,0.57326,-4.0432
"X0.895__136.06218000000001__.M.H..__w.o.MS2.Adenine..CE0..GFFGJBXGBJISGV.UHFFFAOYSA.N",1.3784,-0.5528,1.9243,0.087369,0.57326,-4.0686
"X1.072__131.0668__.M.H..__w.o.MS2.PANTOLACTONE",-0.51904,-0.33575,-1.9195,0.088039,0.57326,-4.0739
"X3.486__240.14878999999999__.M.H..__Unknown",0.64182,-0.99898,1.9133,0.088901,0.57326,-4.0805
"X0.577__397.98815999999999__.M.H..__Unknown",0.66181,-0.52486,1.8994,0.090885,0.57326,-4.0956
"X1.049__170.08148__.M.H..__w.o.MS2.PYRIDOXINE",-0.35314,0.17734,-1.8815,0.093495,0.57326,-4.115
"X6.228__235.17054999999999__.M.H..__w.o.MS2.Isocurcumenol",-0.60991,-0.85595,-1.8793,0.093824,0.57326,-4.1174
"X0.582__445.08026000000001__.M.Na..__w.o.MS2.mangiferin",1.1109,-1.3358,1.8792,0.09384,0.57326,-4.1175
"X4.653__377.07898__.M.2H.2.__w.o.MS2.Chlorogenic.acid",-1.5478,-1.4677,-1.8725,0.094841,0.57326,-4.1248
"X0.514__166.96071000000001__.M.H..__Unknown",-1.0154,-1.0833,-1.8723,0.094879,0.57326,-4.125
"X1.617__136.93144000000001__.M.H..__Unknown",0.90433,0.26955,1.8695,0.095299,0.57326,-4.128
"X7.219__311.25344999999999__.M.H..__w.o.MS2.NCGC00385642.01.1.4.dihydroxyheptadec.16.en.2.yl.acetate",1.1766,-0.22653,1.8621,0.09642,0.57326,-4.136
"X4.087__232.17075__.M.H..__w.o.MS2.Alpha.pyrrolidinovalerophenone",-0.69339,-0.19799,-1.8598,0.096773,0.57326,-4.1385
"X5.678__263.06464__.M.H..__w.o.MS2.MLS001240214.01.2..3.Chloro.2.methyl.phenylamino..nicotinic.acid",1.9508,-2.1069,1.8597,0.096783,0.57326,-4.1386
"X1.876__206.13831999999999__.M.H..__w.o.MS2.AZELAIC.ACID",0.42343,-0.34609,1.8374,0.10025,0.57326,-4.1626
"X6.459__236.20265000000001__.M.Na..__Unknown",1.1007,-0.83067,1.8167,0.10356,0.57326,-4.1847
"X2.607__137.07096999999999__.M.H..__w.o.MS2.N.Methylnicotinamide..CE0..ZYVXHFWBYUDDBM.UHFFFAOYSA.N",0.86906,0.011983,1.8167,0.10356,0.57326,-4.1848
"X1.083__312.11176__.M.H..__w.o.MS2.C11H21NO7S..PlaSMA.ID.1653",0.85454,-1.7163,1.8091,0.10481,0.57326,-4.1929
"X2.434__409.18682999999999__.M.H..__w.o.MS2.eudesmin",-0.60303,-0.57085,-1.797,0.10682,0.57326,-4.2058
"X0.591__138.06654__.M.H.H2O..__w.o.MS2.MLS001148230.01.......Chlorpheniramine.maleate.salt",-0.35765,-0.017598,-1.7909,0.10786,0.57326,-4.2124
"X3.655__396.15850999999998__.M.H..__w.o.MS2.NCGC00385007.01.methyl.4..1.3.dihydroxy.1..4.hydroxy.3.methoxyphenyl.propan.2.yl.oxy.3.methoxybenzoate",-2.4308,-1.3127,-1.7896,0.10808,0.57326,-4.2138
"X7.124__325.27242999999999__.M.H..__w.o.MS2..3S..5...1R.2R.8aS..2.hydroxy.2.5.5.8a.tetramethyl.3.4.4a.6.7.8.hexahydro.1H.naphthalen.1.yl..3.methylpentanoic.acid",-0.56732,0.15732,-1.7817,0.10942,0.57326,-4.2222
"X3.993__191.08327__.M.H..__w.o.MS2.3.methyl.3.4.dihydro.1H.1.4.benzodiazepine.2.5.dione",-0.61657,-0.13139,-1.7785,0.10997,0.57326,-4.2256
"X0.72__113.00005__.M.H..__Unknown",-2.7514,2.2434,-1.7728,0.11096,0.57326,-4.2317
"X0.77__176.09348__.M.H..__Unknown",1.5434,-0.45714,1.7705,0.11136,0.57326,-4.2341
"X1.482__113.10822__.M.H..__Unknown",-0.44212,0.2561,-1.766,0.11215,0.57326,-4.2389
"X3.853__418.14182__.M.Na..__w.o.MS2.Atalaphylline",-1.6575,-0.53846,-1.764,0.1125,0.57326,-4.241
"X7.569__338.34433000000001__.M.H..__w.o.MS2.Erucamide",-0.97358,-0.19078,-1.7527,0.1145,0.57326,-4.2529
"X0.709__245.15268__.M.H..__w.o.MS2.KOBUSONE",-1.1461,-0.070848,-1.7526,0.11451,0.57326,-4.253
"X4.664__249.12031999999999__.M.H..__w.o.MS2.MLS000860057.01.6.Hydroxymelatonin",-1.5309,0.42464,-1.7437,0.11612,0.57326,-4.2624
"X4.884__225.11256__.M.H..__w.o.MS2..E.2S.3R..5..3.hydroxy.2..hydroxymethyl.phenyl.pent.4.ene.2.3.diol",-0.8447,0.21489,-1.7333,0.11802,0.57326,-4.2734
"X1.61__268.10373__.M.H..__Adenosine..LC.ESI.QTOF..MS2..CE",1.0159,-0.98394,1.723,0.11992,0.57326,-4.2842
"X2.526__316.21814000000001__.M.H..__w.o.MS2.NCGC00381331.01_C16H26O5_Pentanoic.acid..3.methyl...5.hydroxy.3..hydroxymethyl..6..1.methylethyl..2.oxo.3.cyclohexen.1.yl.ester",-0.58263,-0.23583,-1.71,0.12237,0.57326,-4.2979
"X0.988__254.99437__.M.H..__Unknown",0.60591,0.2799,1.6931,0.12563,0.57326,-4.3156
"X0.896__158.95164__.M.H.H2O..__Unknown",-0.76253,-0.30883,-1.6919,0.12586,0.57326,-4.3169
"X0.582__411.03881999999999__.M.Na..__Unknown",-0.51525,0.71058,-1.6785,0.1285,0.57326,-4.3309
"X4.792__144.13963000000001__.M.H..__Unknown",0.34672,-1.0581,1.6785,0.12851,0.57326,-4.3309
