"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X6.539__347.10516000000001__.M.H..__w.o.MS2.Oryzalin",2.0045,0.25874,7.3866,4.5126e-05,0.019991,0.86904
"X0.72__113.00005__.M.H..__Unknown",-3.3101,1.9616,-3.9662,0.0033737,0.46077,-1.6941
"X1.61__136.06087__.M.H..__Adenine..LC.ESI.QTOF..MS2..CE",1.051,-0.61496,3.5868,0.0060146,0.46077,-2.1068
"X4.019__162.0925__.M.H..__w.o.MS2.Tryptophol",-1.5255,0.99905,-3.3186,0.00915,0.46077,-2.4138
"X0.685__162.07615999999999__.M.H..__w.o.MS2.N.Methylglutamic.acid",1.5147,0.22094,3.3095,0.0092824,0.46077,-2.4244
"X8.786__561.46898999999996__.M.Na..__Unknown",1.7719,-1.4079,3.2178,0.010734,0.46077,-2.532
"X1__412.97314__.M.K..__Unknown",-1.2298,0.21316,-3.1905,0.011212,0.46077,-2.5644
"X1.01__397.07754999999997__.M.H..__Unknown",-1.9872,-0.14794,-3.0979,0.012998,0.46077,-2.6745
"X5.392__274.28564__.M.H..__Unknown",1.1177,-0.76714,3.0814,0.013345,0.46077,-2.6943
"X6.616__385.17764__.M.H..__w.o.MS2..4aR..5.hydroxy.6.methoxy.1.1.dimethyl.7.propan.2.yl.2.3.4.9.10.10a.hexahydrophenanthrene.4a.carboxylic.acid",-1.1498,0.14233,-3.0769,0.013442,0.46077,-2.6997
"X6.138__299.16370000000001__.M.H..__w.o.MS2.MLS002154028.01.Trimeprazine.tartrate4330.99.8",1.1955,-0.62042,3.0033,0.015128,0.46077,-2.7882
"X1.482__113.10822__.M.H..__Unknown",-0.87847,-0.0038056,-2.976,0.015809,0.46077,-2.8213
"X0.68__446.15996999999999__.M.H..__w.o.MS2.MLS001158243.01.N..2.hydroxy.2.phenylethyl..2..4..4.methoxyphenyl..2.oxochromen.7.yl.oxyacetamide",-1.4555,-2.0054,-2.9538,0.016385,0.46077,-2.8483
"X5.027__443.24484000000001__.M.H..__w.o.MS2.6.8.dihydroxy.2.2.4.4.tetramethyl.7..3.methylbutanoyl..9..2.methylpropyl..9H.xanthene.1.3.dione",1.1484,0.4566,2.9211,0.017271,0.46077,-2.8879
"X7.638__562.37445000000002__.M.2H.2.__w.o.MS2.Rhodoxanthin..FAB.EBEB..MS2..m.z",2.1415,0.30988,2.8794,0.018477,0.46077,-2.9388
"X6.063__347.14053000000001__.M.Na..__w.o.MS2.N..3.4.dimethoxyphenethyl..1H.indole.3.carboxamide",6.0662,-1.6121,2.8519,0.019317,0.46077,-2.9724
"X4.852__331.22494999999998__.M.H..__w.o.MS2.NCGC00180485.03_C21H32O4_.5beta.8alpha.9beta.10alpha.13alpha..18.Methoxy.18.oxokauran.17.oic.acid",1.0728,0.38943,2.8432,0.019591,0.46077,-2.983
"X6.037__180.13929999999999__.M.H..__w.o.MS2..1..2.6.dimethylphenoxy.propan.2.amine.",1.2828,-0.87186,2.8424,0.019617,0.46077,-2.9841
"X0.831__168.94781__.M.H..__Unknown",1.9122,0.98585,2.8092,0.020699,0.46077,-3.0247
"X4.542__385.19860999999997__.M.H..__w.o.MS2.NCGC00180558.02.",1.5002,0.2865,2.7874,0.021445,0.46077,-3.0515
"X6.536__315.15991000000002__.M.Na..__w.o.MS2.Safranin..LC.ESI.QTOF..MS2..CE",4.0847,-1.5857,2.7136,0.024178,0.46077,-3.1424
"X1.009__519.01464999999996__.M.H..__Unknown",-1.4969,-0.45375,-2.7125,0.024221,0.46077,-3.1438
"X4.884__225.11256__.M.H..__w.o.MS2..E.2S.3R..5..3.hydroxy.2..hydroxymethyl.phenyl.pent.4.ene.2.3.diol",1.7503,1.744,2.7124,0.024225,0.46077,-3.1439
"X1.009__419.05493000000001__.M.Na..__Unknown",-1.3124,-0.23538,-2.6718,0.025876,0.46077,-3.1939
"X6.442__427.07104__.M.K..__Unknown",0.93092,-3.6105,2.6607,0.026349,0.46077,-3.2077
"X4.492__258.06673999999998__.M.H..__w.o.MS2.Pesticide3_Thiobencarb_C12H16ClNOS_S..4.Chlorobenzyl..diethylcarbamothioate",0.62833,-0.37455,2.6447,0.027043,0.46077,-3.2275
"X1.049__170.08148__.M.H..__w.o.MS2.PYRIDOXINE",-0.60275,0.037153,-2.5981,0.029176,0.477,-3.2852
"X2.263__138.05547000000001__.M.H..__w.o.MS2.Unknown..carbon.number.7...PlaSMA.ID.134",-0.57368,-0.073722,-2.578,0.030149,0.477,-3.3102
"X5.678__263.06464__.M.H..__w.o.MS2.MLS001240214.01.2..3.Chloro.2.methyl.phenylamino..nicotinic.acid",2.703,-1.7437,2.5202,0.033124,0.49704,-3.3818
"X4.651__114.03719__.M.H..__Unknown",-0.72697,-0.29453,-2.5022,0.034113,0.49704,-3.4042
"X5.679__207.6095__.M.H..__Unknown",2.711,-2.093,2.4903,0.034782,0.49704,-3.419
"X4.147__223.13869__.M.H..__w.o.MS2.Unknown..carbon.number.13...PlaSMA.ID.849",2.1941,-0.1554,2.4264,0.038598,0.51427,-3.4984
"X1.008__323.06787000000003__.M.H..__w.o.MS2.3.4.DIMETHOXYDALBERGIONE",-1.3211,0.061807,-2.426,0.038625,0.51427,-3.4989
"X5.159__540.68871999999999__.M.2H.2.__Unknown",-0.98157,-0.50069,-2.3999,0.0403,0.51427,-3.5312
