"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X6.442__427.07104__.M.K..__Unknown",2.0199,-3.4207,4.8635,0.0011295,0.25337,-0.82078
"X6.675__501.08786__.M.K..__w.o.MS2.6...6.8.dihydroxy.7.methoxy.3.methyl.1.oxo.3.4.dihydroisochromen.4.yl.oxy..4.8.dihydroxy.7.methoxy.3.methyl.3.4.dihydroisochromen.1.one",2.588,-4.4838,4.8538,0.0011439,0.25337,-0.82948
"X6.147__327.09116__.M.H..__w.o.MS2.Vicine",1.5213,-0.51109,3.9946,0.0037035,0.39078,-1.6708
"X7.533__339.29074000000003__.M.H..__Unknown",-4.2092,-1.5259,-3.8148,0.0047998,0.39078,-1.8648
"X6.442__411.09656__.M.Na..__Unknown",1.7352,-3.4713,3.7891,0.0049836,0.39078,-1.8931
"X6.676__485.12228__.M.Na..__Hispiduloside",2.82,-5.1601,3.7479,0.0052927,0.39078,-1.9386
"X5.97__318.29723999999999__.M.H..__w.o.MS2.Phytosphingosine..not.validated..isomer.of.1696...PlaSMA.ID.1697",1.4067,-0.036073,3.5671,0.0069128,0.43748,-2.142
"X0.72__113.00005__.M.H..__Unknown",-3.7098,1.6925,-3.4062,0.0087987,0.45006,-2.3277
"X6.616__385.17764__.M.H..__w.o.MS2..4aR..5.hydroxy.6.methoxy.1.1.dimethyl.7.propan.2.yl.2.3.4.9.10.10a.hexahydrophenanthrene.4a.carboxylic.acid",-1.121,0.2396,-3.3423,0.0096916,0.45006,-2.4027
"X0.676__497.04827999999998__.M.H..__Unknown",3.1365,-1.8936,3.253,0.011103,0.45006,-2.5086
"X8.933__381.35046__.M.H..__w.o.MS2.Brassicasterol..LC.APPI.QQ..MS2..CE",1.0606,-0.76434,3.2488,0.011175,0.45006,-2.5136
"X0.904__189.12459000000001__.M.H..__w.o.MS2.N6.Acetyl.L.lysine..CE0..DTERQYGMUDWYAZ.ZETCQYMHSA.N",2.253,-0.31224,3.1402,0.013201,0.46251,-2.644
"X0.682__244.09419__.M.H.H2O..__w.o.MS2.Pesticide3_Carbofuran_C12H15NO3_Furadan",1.3106,-1.641,2.9546,0.017598,0.46251,-2.8705
"X0.894__190.97855000000001__.M.H..__Unknown",1.2767,-0.52041,2.8793,0.01979,0.46251,-2.9635
"X1.61__268.10373__.M.H..__Adenosine..LC.ESI.QTOF..MS2..CE",1.6208,-0.88264,2.8751,0.01992,0.46251,-2.9687
"X4.517__197.08624__.M.H..__w.o.MS2..MLS002207182.01.2..Hydroxy.4..6..dimethoxyacetophenone90.24.4.",-1.2846,-0.93281,-2.8028,0.02231,0.46251,-3.0586
"X6.098__98.985680000000002__.M.H..__Unknown",1.6293,-0.39027,2.7948,0.022591,0.46251,-3.0686
"X6.698__371.10924999999997__.M.H..__w.o.MS2.Chelerythrine",2.4333,-5.2094,2.7848,0.022949,0.46251,-3.0811
"X0.684__97.028559999999999__.M.H..__w.o.MS2.Propionic.acid",5.908,-1.6928,2.7757,0.02328,0.46251,-3.0925
"X1.008__352.02377000000001__.M.H..__w.o.MS2.6.chloro.4.5.7.trihydroxy.9.10.dioxoanthracene.2.carboxylic.acid",-1.2763,-0.039079,-2.7303,0.025004,0.46251,-3.1493
"X0.58__493.00060999999999__.M.K..__Unknown",-2.5936,0.023234,-2.7292,0.025046,0.46251,-3.1506
"X7.121__394.34579000000002__.M.H..__Unknown",1.8948,-1.9817,2.7065,0.025958,0.46251,-3.1791
"X6.969__335.29126000000002__.M.H..__w.o.MS2.arachidic.acid",-1.8323,-0.66545,-2.7022,0.026136,0.46251,-3.1845
"X2.672__298.10785__.M.H..__5..S.Methylthioadenosine..LC.ESI.QTOF..MS2..CE",1.8313,-0.16123,2.6852,0.026843,0.46251,-3.2058
"X0.582__411.03881999999999__.M.Na..__Unknown",-2.8503,-0.46402,-2.5803,0.03168,0.46251,-3.3379
"X1.61__136.06087__.M.H..__Adenine..LC.ESI.QTOF..MS2..CE",1.4696,-0.4262,2.5631,0.032553,0.46251,-3.3595
"X0.705__381.08652000000001__.M.K..__w.o.MS2.Excavatin.L",2.3724,-0.17921,2.5354,0.034012,0.46251,-3.3945
"X1.088__177.94945__.M.H..__Unknown",1.0737,-0.43453,2.5207,0.034809,0.46251,-3.413
"X0.685__162.07615999999999__.M.H..__w.o.MS2.N.Methylglutamic.acid",1.5546,0.2299,2.5146,0.03515,0.46251,-3.4208
"X0.788__252.92823999999999__.M.H..__Unknown",-1.6622,0.26019,-2.4993,0.03601,0.46251,-3.4401
"X1.082__138.09088__.M.H..__w.o.MS2.Unknown..carbon.number.8...PlaSMA.ID.137",0.70355,-0.15548,2.4982,0.036074,0.46251,-3.4415
"X0.854__174.14882__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.410",-1.3397,-0.57321,-2.4804,0.037103,0.46251,-3.4639
"X2.247__258.07211000000001__.M.K..__w.o.MS2.Orbencarb..LC.ESI.ITFT..MS2..CE",-0.82031,0.17279,-2.4583,0.038428,0.46251,-3.4919
"X6.138__299.16370000000001__.M.H..__w.o.MS2.MLS002154028.01.Trimeprazine.tartrate4330.99.8",0.99734,-0.76429,2.4582,0.038431,0.46251,-3.492
"X0.701__277.14312999999999__.M.H..__w.o.MS2.3.7.Epoxycaryophyllan.6.Ol",2.4126,-0.56394,2.4487,0.039015,0.46251,-3.504
"X0.581__233.99332000000001__.M.K..__Unknown",-1.8503,-0.13323,-2.4403,0.039537,0.46251,-3.5146
"X1.005__148.09650999999999__.M.H..__w.o.MS2.Mevalonic.Acid.Lactone",1.5434,0.15593,2.4273,0.040361,0.46251,-3.5311
"X6.078__302.31317000000001__.M.H..__w.o.MS2.MLS001066334.01.D.erythro.Dihydrosphingosine764.22.7",1.0889,-0.12547,2.3998,0.042156,0.46251,-3.5658
"X3.093__486.04108000000002__.M.H..__Unknown",-3.4641,-0.88605,-2.3519,0.045478,0.46251,-3.6263
"X5.676__292.26431000000002__.M.H..__Unknown",-0.68969,0.32604,-2.3464,0.04588,0.46251,-3.6333
"X0.708__365.11212__.M.Na..__Melibiose",2.468,-0.40126,2.3432,0.046113,0.46251,-3.6373
"X4.019__162.0925__.M.H..__w.o.MS2.Tryptophol",-3.0305,0.27392,-2.3355,0.04668,0.46251,-3.6471
"X1.008__357.02609000000001__.M.H.H2O..__w.o.MS2..E..1.4.bis.4.hydroxy.3.methoxyphenyl..2.3.dimethylbut.2.ene.1.4.dione",1.0113,0.63493,2.3286,0.047188,0.46251,-3.6557
"X4.651__362.09793000000002__.M.2H.2.__w.o.MS2.Moguisteine",-0.83585,-0.072981,-2.3232,0.047594,0.46251,-3.6625
"X0.695__325.11284999999998__.M.H.H2O..__w.o.MS2.Disaccharide.Hex.Hex...PlaSMA.ID.1741",1.6191,0.032823,2.3189,0.047921,0.46251,-3.668
"X2.672__136.06525__.M.H..__Adenine..LC.ESI.QTOF..MS2..CE",1.6283,-0.059382,2.2889,0.050256,0.46251,-3.7059
"X4.557__376.13256999999999__.M.H..__w.o.MS2.BEZ.M",1.3349,-1.7005,2.2838,0.050661,0.46251,-3.7123
"X4.651__114.03719__.M.H..__Unknown",-0.75145,-0.25721,-2.2814,0.050852,0.46251,-3.7153
"X6.479__295.23615000000001__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1528",3.8937,-2.1358,2.2745,0.051416,0.46251,-3.7241
"X8.786__561.46898999999996__.M.Na..__Unknown",1.2726,-1.8562,2.2649,0.052202,0.46251,-3.7362
"X6.063__347.14053000000001__.M.Na..__w.o.MS2.N..3.4.dimethoxyphenethyl..1H.indole.3.carboxamide",4.5892,-2.3845,2.2121,0.056749,0.47047,-3.8026
"X0.58__429.93588__.M.H..__Unknown",-1.302,-0.21351,-2.2065,0.057253,0.47047,-3.8096
"X6.403__338.22640999999999__.M.H..__w.o.MS2.Lobeline.Hydrochloride",0.72983,-0.50483,2.1978,0.058046,0.47047,-3.8206
"X5.678__263.06464__.M.H..__w.o.MS2.MLS001240214.01.2..3.Chloro.2.methyl.phenylamino..nicotinic.acid",3.7143,-1.3657,2.1837,0.05936,0.47047,-3.8384
"X1.585__152.05681999999999__.M.CH3OH.H..__w.o.MS2.Guanine..CE0..UYTPUPDQBNUYGX.UHFFFAOYSA.N",1.0072,0.10701,2.162,0.061428,0.47047,-3.8656
"X2.434__409.18682999999999__.M.H..__w.o.MS2.eudesmin",1.0887,0.14311,2.1554,0.062068,0.47047,-3.8738
"X5.693__239.16209000000001__.M.H..__w.o.MS2.3.hydroxy.5.5.8a.trimethyl.3.4.4a.6.7.8.hexahydronaphthalene.2.carboxylic.acid",0.77603,-0.19932,2.1479,0.062809,0.47047,-3.8832
"X0.895__136.06218000000001__.M.H..__w.o.MS2.Adenine..CE0..GFFGJBXGBJISGV.UHFFFAOYSA.N",2.0255,-0.069119,2.1448,0.063121,0.47047,-3.8871
"X6.14__286.32269000000002__.M.H..__Unknown",0.70023,0.25599,2.1425,0.063351,0.47047,-3.89
"X0.77__176.09348__.M.H..__Unknown",1.5079,-0.4286,2.1287,0.064746,0.47047,-3.9073
"X4.884__225.11256__.M.H..__w.o.MS2..E.2S.3R..5..3.hydroxy.2..hydroxymethyl.phenyl.pent.4.ene.2.3.diol",-1.1335,0.15434,-2.1076,0.066935,0.47047,-3.9336
"X7.533__373.23192999999998__.M.H..__w.o.MS2.5..5.methoxycarbonyl.5.8a.dimethyl.2.methylidene.3.4.4a.6.7.8.hexahydro.1H.naphthalen.1.yl..3.methylpentanoic.acid",-0.73084,-0.019699,-2.0999,0.067754,0.47047,-3.9433
"X4.572__169.12546__.M.H..__w.o.MS2.Unknown..carbon.number.10...PlaSMA.ID.387",-1.5471,-0.17611,-2.0984,0.067907,0.47047,-3.945
"X5.678__376.26067999999998__.M.H..__Unknown",-1.8783,-3.1175,-2.0978,0.067969,0.47047,-3.9458
"X0.428__136.93093999999999__.M.H..__Unknown",1.2758,-0.55869,2.0818,0.069712,0.47511,-3.9658
"X3.092__434.07135__.M.H..__w.o.MS2.MMV676528",-0.64254,-0.011826,-2.039,0.074566,0.5005,-4.019
"X5.417__353.15726000000001__.M.H..__w.o.MS2.4.decyl.3.hydroxy.5.oxooxolane.2.3.dicarboxylic.acid",-0.79832,0.32627,-2.0189,0.076962,0.50534,-4.044
"X1.008__323.06787000000003__.M.H..__w.o.MS2.3.4.DIMETHOXYDALBERGIONE",-1.1143,0.12687,-2.0139,0.077569,0.50534,-4.0502
"X1.008__472.12173000000001__.M.H..__Unknown",-2.5341,-0.43039,-1.9942,0.079992,0.51357,-4.0744
"X7.223__295.2038__.M.H..__w.o.MS2.ISOPALMITIC.ACID",1.885,-0.56863,1.9784,0.082001,0.51539,-4.0939
"X6.536__315.15991000000002__.M.Na..__w.o.MS2.Safranin..LC.ESI.QTOF..MS2..CE",2.7875,-2.3573,1.9698,0.083115,0.51539,-4.1045
"X8.208__523.39435000000003__.M.H..__Unknown",3.2466,-2.2689,1.9648,0.083765,0.51539,-4.1107
"X0.58__299.97570999999999__.M.K..__Unknown",-1.0151,-0.26098,-1.9537,0.085234,0.51695,-4.1243
"X3.467__201.05070000000001__.M.H..__w.o.MS2.Camalexin",3.6406,-0.042928,1.9392,0.087196,0.51695,-4.1422
"X6.636__469.14159999999998__.M.H..__w.o.MS2.Unknown..carbon.number.20...PlaSMA.ID.2546",1.494,-0.56339,1.9368,0.08752,0.51695,-4.1451
"X5.942__435.21643__.M.K..__w.o.MS2.76.25.5",0.6693,-0.51968,1.9225,0.08949,0.52163,-4.1626
"X4.771__392.11380000000003__.M.2H.2.__w.o.MS2..MLS001140588.01.N..3..3.4.dimethoxyphenyl..4.oxochromen.2.yl.furan.2.carboxamide.",-2.3608,-0.91202,-1.8858,0.094765,0.53265,-4.2074
"X0.709__245.15268__.M.H..__w.o.MS2.KOBUSONE",0.94431,0.96551,1.8693,0.097231,0.53265,-4.2275
"X6.037__180.13929999999999__.M.H..__w.o.MS2..1..2.6.dimethylphenoxy.propan.2.amine.",1.1779,-0.93608,1.866,0.09772,0.53265,-4.2314
"X3.921__481.21181999999999__.M.H..__Unknown",-1.6121,-0.52511,-1.8557,0.099302,0.53265,-4.2439
"X6.777__309.28003000000001__.M.H..__w.o.MS2.Sclareol",0.54131,-0.061926,1.8539,0.099585,0.53265,-4.2461
"X3.991__160.04408000000001__.M.H..__w.o.MS2.Brompheniramine",-0.68765,-0.11866,-1.8503,0.10014,0.53265,-4.2505
"X0.586__196.03073000000001__.M.H..__w.o.MS2.N.Methylbenzylamine.Hydrochloride",-1.2025,0.016567,-1.8499,0.1002,0.53265,-4.2509
"X6.129__337.07611__.M.Na..__7.8.dihydroxy.5.6.dimethoxy.2.phenyl.4H.chromen.4.one",1.1047,-2.4037,1.8442,0.10109,0.53265,-4.2578
"X4.578__264.23361__.M.H..__w.o.MS2.NCGC00385952.01_C15H26O_1.7.Dimethyl.7..4.methyl.3.penten.1.yl.bicyclo.2.2.1.heptan.2.ol",-0.60326,0.35599,-1.8304,0.10327,0.53265,-4.2745
"X3.093__114.03863__.M.H..__Unknown",-0.90667,-0.35713,-1.8258,0.10401,0.53265,-4.28
"X0.799__146.11668__.M.H..__w.o.MS2.Acetylcholine..LC.ESI.QTOF..MS2..CE",0.71557,-0.35686,1.8221,0.10461,0.53265,-4.2844
"X0.844__256.08458999999999__.M.H..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1107",2.3481,0.22053,1.7922,0.10957,0.53734,-4.3204
"X1.348__200.97656000000001__.M.H..__Unknown",0.94728,0.18152,1.7777,0.11203,0.53734,-4.3377
"X0.579__367.96352999999999__.M.K..__Unknown",-1.1523,-0.87131,-1.7759,0.11235,0.53734,-4.3399
