"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X6.442__427.07104__.M.K..__Unknown",2.0875,-3.493,6.3433,0.00012053,0.053397,1.4703
"X6.675__501.08786__.M.K..__w.o.MS2.6...6.8.dihydroxy.7.methoxy.3.methyl.1.oxo.3.4.dihydroisochromen.4.yl.oxy..4.8.dihydroxy.7.methoxy.3.methyl.3.4.dihydroisochromen.1.one",2.7338,-4.5076,4.9562,0.00073025,0.16175,-0.099074
"X6.442__411.09656__.M.Na..__Unknown",1.8973,-3.5262,4.4898,0.0014224,0.21005,-0.70156
"X0.676__497.04827999999998__.M.H..__Unknown",2.3678,-2.2344,4.0954,0.0025615,0.25931,-1.2399
"X6.676__485.12228__.M.Na..__Hispiduloside",3.0246,-5.1871,3.9905,0.0030061,0.25931,-1.3872
"X0.666__219.02705__.M.K..__w.o.MS2.THEOBROMINE",2.0336,-2.0077,3.8753,0.0035902,0.25931,-1.551
"X1.61__268.10373__.M.H..__Adenosine..LC.ESI.QTOF..MS2..CE",1.5744,-0.87847,3.7903,0.0040975,0.25931,-1.6732
"X1.086__162.06247999999999__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.300",2.4494,0.68039,3.5962,0.0055593,0.30785,-1.9556
"X6.616__385.17764__.M.H..__w.o.MS2..4aR..5.hydroxy.6.methoxy.1.1.dimethyl.7.propan.2.yl.2.3.4.9.10.10a.hexahydrophenanthrene.4a.carboxylic.acid",-1.0387,0.17285,-3.4625,0.0068782,0.31559,-2.153
"X0.72__113.00005__.M.H..__Unknown",-3.5452,1.3924,-3.3746,0.0079204,0.31559,-2.2839
"X0.904__189.12459000000001__.M.H..__w.o.MS2.N6.Acetyl.L.lysine..CE0..DTERQYGMUDWYAZ.ZETCQYMHSA.N",2.6611,0.059011,3.3735,0.0079335,0.31559,-2.2854
"X6.078__302.31317000000001__.M.H..__w.o.MS2.MLS001066334.01.D.erythro.Dihydrosphingosine764.22.7",1.9868,0.36579,3.3272,0.0085488,0.31559,-2.3547
"X6.698__371.10924999999997__.M.H..__w.o.MS2.Chelerythrine",2.8191,-5.2203,3.2176,0.010208,0.34787,-2.5194
"X0.799__146.11668__.M.H..__w.o.MS2.Acetylcholine..LC.ESI.QTOF..MS2..CE",1.058,-0.14298,3.0733,0.012916,0.38441,-2.7375
"X6.403__338.22640999999999__.M.H..__w.o.MS2.Lobeline.Hydrochloride",1.0062,-0.34521,3.0569,0.013267,0.38441,-2.7624
"X0.77__176.09348__.M.H..__Unknown",2.186,0.049935,3.0123,0.014274,0.38441,-2.8302
"X4.019__162.0925__.M.H..__w.o.MS2.Tryptophol",-4.4507,-0.60995,-2.9922,0.014752,0.38441,-2.8606
"X0.684__97.028559999999999__.M.H..__w.o.MS2.Propionic.acid",5.5065,-1.4239,2.9213,0.016578,0.408,-2.9686
"X0.705__381.08652000000001__.M.K..__w.o.MS2.Excavatin.L",2.0704,-0.12492,2.8598,0.018345,0.42773,-3.0623
"X4.651__362.09793000000002__.M.2H.2.__w.o.MS2.Moguisteine",-1.3384,-0.35732,-2.7972,0.020343,0.44968,-3.1577
"X2.081__100.07629__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",1.0593,-1.2133,2.7383,0.022423,0.44968,-3.2475
"X0.708__365.11212__.M.Na..__Melibiose",2.1126,-0.37246,2.7104,0.023484,0.44968,-3.29
"X2.672__298.10785__.M.H..__5..S.Methylthioadenosine..LC.ESI.QTOF..MS2..CE",1.5493,-0.17141,2.7036,0.023752,0.44968,-3.3005
"X5.676__292.26431000000002__.M.H..__Unknown",-0.99545,0.16,-2.6882,0.024362,0.44968,-3.3238
"X1.005__148.09650999999999__.M.H..__w.o.MS2.Mevalonic.Acid.Lactone",1.5523,0.26983,2.6269,0.026968,0.47551,-3.4172
"X0.717__157.06164999999999__.M.H.H2O..__Unknown",1.4662,0.30281,2.593,0.028527,0.47551,-3.4688
"X0.695__325.11284999999998__.M.H.H2O..__w.o.MS2.Disaccharide.Hex.Hex...PlaSMA.ID.1741",1.3993,0.055598,2.5835,0.028981,0.47551,-3.4832
"X4.651__114.03719__.M.H..__Unknown",-0.60452,-0.20366,-2.5249,0.031933,0.50135,-3.572
"X0.895__136.06218000000001__.M.H..__w.o.MS2.Adenine..CE0..GFFGJBXGBJISGV.UHFFFAOYSA.N",1.6907,-0.065557,2.5084,0.03282,0.50135,-3.5971
"X1.038__308.09334999999999__.M.H..__w.o.MS2.Glutathione..reduced.",2.4087,-0.059497,2.4579,0.035689,0.50355,-3.6736
"X5.97__318.29723999999999__.M.H..__w.o.MS2.Phytosphingosine..not.validated..isomer.of.1696...PlaSMA.ID.1697",1.0062,-0.16484,2.457,0.035742,0.50355,-3.6749
"X1.082__138.09088__.M.H..__w.o.MS2.Unknown..carbon.number.8...PlaSMA.ID.137",0.65697,-0.15305,2.3982,0.039393,0.50355,-3.7634
"X3.993__191.08327__.M.H..__w.o.MS2.3.methyl.3.4.dihydro.1H.1.4.benzodiazepine.2.5.dione",-0.75581,-0.17312,-2.3959,0.039544,0.50355,-3.7669
"X3.089__388.07407000000001__.M.K..__Unknown",-0.74584,-0.13359,-2.3898,0.039948,0.50355,-3.7762
"X6.138__299.16370000000001__.M.H..__w.o.MS2.MLS002154028.01.Trimeprazine.tartrate4330.99.8",0.89162,-0.77714,2.3826,0.040425,0.50355,-3.787
"X4.288__381.20364000000001__.M.H..__w.o.MS2.2..2.hydroxy.6.methylhept.5.en.2.yl..7..3.methylbut.2.enyl..2.3.dihydro.1.benzofuran.5.carboxylic.acid",-5.4626,-1.4099,-2.3629,0.041762,0.50355,-3.8165
"X6.681__521.32281__.M.H..__w.o.MS2.Poricoic.acid.A",1.2224,-0.50814,2.354,0.042385,0.50355,-3.8299
"X1.01__397.07754999999997__.M.H..__Unknown",-2.6918,-0.58038,-2.3306,0.04406,0.50355,-3.865
"X2.672__136.06525__.M.H..__Adenine..LC.ESI.QTOF..MS2..CE",1.4054,-0.063368,2.3269,0.04433,0.50355,-3.8706
"X3.088__192.04961__.M.CH3OH.H..__w.o.MS2.Aconitic.Acid",-0.71943,-0.065688,-2.3019,0.046195,0.51057,-3.9079
"X3.093__486.04108000000002__.M.H..__Unknown",-1.2123,0.1369,-2.2851,0.047494,0.51057,-3.9329
"X6.271__328.31873000000002__.M.H..__w.o.MS2.Stearoyl.Ethanolamide",-0.971,0.55419,-2.2594,0.049556,0.51057,-3.9713
"X5.417__353.15726000000001__.M.H..__w.o.MS2.4.decyl.3.hydroxy.5.oxooxolane.2.3.dicarboxylic.acid",-0.9276,0.21258,-2.2593,0.049558,0.51057,-3.9713
"X6.063__347.14053000000001__.M.Na..__w.o.MS2.N..3.4.dimethoxyphenethyl..1H.indole.3.carboxamide",4.1036,-2.1226,2.2131,0.053479,0.53843,-4.0398
