"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X0.853__100.07642__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",1.9421,-0.67591,3.6972,0.0061536,0.99929,-4.4659
"X1.145__148.05457999999999__.M.H..__w.o.MS2.Glutamic.acid",-1.0841,-1.2967,-3.4534,0.0087589,0.99929,-4.4741
"X6.291__293.21749999999997__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1487",1.9331,0.8155,2.785,0.023927,0.99929,-4.5008
"X1.876__206.13831999999999__.M.H..__w.o.MS2.AZELAIC.ACID",-0.61645,-0.10938,-2.7577,0.024953,0.99929,-4.502
"X0.701__277.14312999999999__.M.H..__w.o.MS2.3.7.Epoxycaryophyllan.6.Ol",3.4664,-4.9604,2.5804,0.032812,0.99929,-4.5103
"X1.076__124.039__.M.H..__Isonicotinic.acid..LC.ESI.QTOF..MS2..CE",1.375,-1.6375,2.4121,0.042605,0.99929,-4.5187
"X2.081__100.07629__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",-1.6742,-0.96038,-2.3876,0.04426,0.99929,-4.5199
"X0.671__104.10736__.M.H..__w.o.MS2.Choline..CE0..OEYIOHPDSNJKLS.UHFFFAOYSA.N",0.79861,-0.55679,2.319,0.049246,0.99929,-4.5234
"X5.693__239.16209000000001__.M.H..__w.o.MS2.3.hydroxy.5.5.8a.trimethyl.3.4.4a.6.7.8.hexahydronaphthalene.2.carboxylic.acid",0.71067,-0.84998,2.2604,0.053948,0.99929,-4.5265
"X0.72__161.07374999999999__.M.H..__w.o.MS2.MLS001048867.01.1H.indole.3.carboxamide",-0.95808,1.4102,-2.2445,0.055297,0.99929,-4.5273
"X2.497__176.07837000000001__.M.H..__w.o.MS2.allantonin",-1.2454,0.27647,-2.2354,0.056086,0.99929,-4.5278
"X6.459__236.20265000000001__.M.Na..__Unknown",-0.69406,0.27942,-2.1659,0.062483,0.99929,-4.5315
"X6.698__371.10924999999997__.M.H..__w.o.MS2.Chelerythrine",-1.0008,-6.8984,-2.1027,0.068929,0.99929,-4.5349
"X6.442__411.09656__.M.Na..__Unknown",-1.1889,-5.0336,-2.085,0.070843,0.99929,-4.5359
"X3.467__201.05070000000001__.M.H..__w.o.MS2.Camalexin",0.60508,-0.25256,2.0749,0.071965,0.99929,-4.5365
"X4.147__223.13869__.M.H..__w.o.MS2.Unknown..carbon.number.13...PlaSMA.ID.849",0.73651,-0.015155,2.0659,0.072968,0.99929,-4.537
"X4.613__311.16034000000002__.M.H..__w.o.MS2..16alpha.17beta..estra.1.3.5.10..triene.3.16.17.triol",4.9029,-2.3963,2.0405,0.075905,0.99929,-4.5384
"X6.442__427.07104__.M.K..__Unknown",-1.1319,-4.6352,-2.0194,0.078424,0.99929,-4.5395
"X6.271__328.31873000000002__.M.H..__w.o.MS2.Stearoyl.Ethanolamide",0.87252,-1.8904,2.0127,0.079236,0.99929,-4.5399
"X4.645__540.21258999999998__.M.H..__w.o.MS2.NCGC00385813.01_C25H30O12_.5E..5..2..beta.D.Glucopyranosyloxy.ethylidene..4....2E..3..4.hydroxy.3.methoxyphenyl..2.propenoyl.oxy..2.methyl.1.cyclopentene.1.carboxylic.acid",3.5851,-0.68371,1.9721,0.084358,0.99929,-4.5421
"X6.675__501.08786__.M.K..__w.o.MS2.6...6.8.dihydroxy.7.methoxy.3.methyl.1.oxo.3.4.dihydroisochromen.4.yl.oxy..4.8.dihydroxy.7.methoxy.3.methyl.3.4.dihydroisochromen.1.one",-1.4217,-6.1248,-1.9653,0.085256,0.99929,-4.5425
"X0.895__136.06218000000001__.M.H..__w.o.MS2.Adenine..CE0..GFFGJBXGBJISGV.UHFFFAOYSA.N",0.70779,-2.0249,1.9458,0.087856,0.99929,-4.5436
"X1.61__268.10373__.M.H..__Adenosine..LC.ESI.QTOF..MS2..CE",1.4181,-0.9599,1.942,0.088363,0.99929,-4.5438
"X0.854__174.14882__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.410",0.64064,-0.18335,1.8996,0.094325,0.99929,-4.5462
"X5.678__263.06464__.M.H..__w.o.MS2.MLS001240214.01.2..3.Chloro.2.methyl.phenylamino..nicotinic.acid",-0.69448,-2.2626,-1.8956,0.094898,0.99929,-4.5464
"X1.61__136.06087__.M.H..__Adenine..LC.ESI.QTOF..MS2..CE",1.1944,-0.7305,1.8427,0.10293,0.99929,-4.5494
"X4.542__385.19860999999997__.M.H..__w.o.MS2.NCGC00180558.02.",0.61169,-0.004962,1.8247,0.10578,0.99929,-4.5504
"X6.676__485.12228__.M.Na..__Hispiduloside",-1.2663,-7.3555,-1.8208,0.10642,0.99929,-4.5507
"X6.783__325.24169999999998__.M.H..__w.o.MS2.C19H32O4..PlaSMA.ID.1756",0.85139,-0.33513,1.812,0.10786,0.99929,-4.5512
"X0.682__184.07486__.M.H..__w.o.MS2.Phosphocholine",-1.7461,-2.3366,-1.7982,0.11016,0.99929,-4.5519
"X0.936__258.10955999999999__.M.H..__w.o.MS2.sn.Glycero.3.phosphocholine..LC.ESI.QTOF..MS2..CE",1.4425,-1.0897,1.787,0.11206,0.99929,-4.5526
"X3.853__220.09952999999999__.M.H..__w.o.MS2.Aniracetam",1.6863,-0.064998,1.7613,0.11652,0.99929,-4.554
"X0.68__446.15996999999999__.M.H..__w.o.MS2.MLS001158243.01.N..2.hydroxy.2.phenylethyl..2..4..4.methoxyphenyl..2.oxochromen.7.yl.oxyacetamide",0.60843,0.99685,1.7595,0.11684,0.99929,-4.5541
"X4.08__251.08992000000001__.M.H..__w.o.MS2.NCGC00179979.02.6..3.hydroxybutan.2.yl..5..hydroxymethyl..4.methoxypyran.2.one",0.55742,0.015132,1.7498,0.11857,0.99929,-4.5547
