"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X6.81__392.30063000000001__.M.K..__Unknown",1.0996,-1.267,3.6045,0.0091057,0.95769,-4.4578
"X1.609__276.14343000000002__.M.H.H2O..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1286",-1.5522,0.62773,-3.5894,0.0092872,0.95769,-4.4583
"X0.72__161.07374999999999__.M.H..__w.o.MS2.MLS001048867.01.1H.indole.3.carboxamide",1.7901,2.6226,3.2669,0.014279,0.95769,-4.4699
"X1.198__177.95758000000001__.M.H..__Unknown",-1.1325,1.0145,-3.1898,0.015859,0.95769,-4.473
"X1.805__209.09503000000001__.M.H..__w.o.MS2.MLS000069600.01.CHALCONE614.47.1",0.66136,-0.58373,2.8916,0.023981,0.95769,-4.4857
"X0.853__100.07642__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",1.461,-1.2145,2.8834,0.02426,0.95769,-4.486
"X6.291__293.21749999999997__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1487",-2.5347,-0.61881,-2.6942,0.031715,0.95769,-4.495
"X0.852__154.94202999999999__.M.H..__Unknown",-1.6482,0.032674,-2.6262,0.034956,0.95769,-4.4983
"X6.341__312.37142999999998__.M.H..__Unknown",-0.68665,-0.42913,-2.6145,0.035548,0.95769,-4.4989
"X4.771__392.11380000000003__.M.2H.2.__w.o.MS2..MLS001140588.01.N..3..3.4.dimethoxyphenyl..4.oxochromen.2.yl.furan.2.carboxamide.",4.0134,-1.0171,2.5503,0.03898,0.95769,-4.5022
"X3.092__434.07135__.M.H..__w.o.MS2.MMV676528",1.596,-0.5102,2.4238,0.046793,0.95769,-4.5089
"X2.434__409.18682999999999__.M.H..__w.o.MS2.eudesmin",1.4559,1.1561,2.3981,0.048572,0.95769,-4.5103
"X6.681__521.32281__.M.H..__w.o.MS2.Poricoic.acid.A",-3.5486,-1.5483,-2.3646,0.050992,0.95769,-4.5121
"X1.647__156.07687000000001__.M.H..__w.o.MS2.L.Histidine..CE0..HNDVDQJCIGZPNO.YFKPBYRVSA.N",0.76825,0.41026,2.3143,0.054859,0.95769,-4.5149
