"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X6.81__392.30063000000001__.M.K..__Unknown",0.97254,-1.0779,3.7774,0.0026266,0.39228,-2.492
"X6.783__325.24169999999998__.M.H..__w.o.MS2.C19H32O4..PlaSMA.ID.1756",1.1319,-0.058434,3.6597,0.0032573,0.39228,-2.5824
"X2.432__117.05843__.M.H..__w.o.MS2.Ketoisovaleric.acid",-0.79643,-0.077318,-3.4998,0.00437,0.39228,-2.7083
"X5.902__415.21395999999999__.M.H..__w.o.MS2.MMV020623",1.2805,0.54872,3.4046,0.0052107,0.39228,-2.785
"X6.552__325.22548999999998__.M.H..__w.o.MS2.quinine",1.5247,-0.18015,3.3682,0.0055738,0.39228,-2.8146
"X5.693__239.16209000000001__.M.H..__w.o.MS2.3.hydroxy.5.5.8a.trimethyl.3.4.4a.6.7.8.hexahydronaphthalene.2.carboxylic.acid",0.77365,-0.53659,3.1604,0.0081952,0.39228,-2.9867
"X0.695__325.11284999999998__.M.H.H2O..__w.o.MS2.Disaccharide.Hex.Hex...PlaSMA.ID.1741",1.2603,-1.7414,3.1476,0.0083933,0.39228,-2.9975
"X2.63__350.11748999999998__.M.H..__w.o.MS2.Ampicillin..LC.ESI.QTOF..MS2..CE",-1.5124,-0.4237,-3.1441,0.0084479,0.39228,-3.0004
"X3.467__201.05070000000001__.M.H..__w.o.MS2.Camalexin",0.69633,-0.059066,3.0848,0.0094321,0.39228,-3.0505
"X1.198__177.95758000000001__.M.H..__Unknown",-1.1469,0.64718,-3.0529,0.010009,0.39228,-3.0776
"X4.281__376.13335999999998__.M.H..__w.o.MS2.BEZ.M",-2.5453,-0.79829,-3.0223,0.010594,0.39228,-3.1037
"X1.361__221.09215__.M.H..__w.o.MS2.5.Hydroxytryptophan",-0.947,-0.19286,-2.9852,0.011353,0.39228,-3.1355
"X3.439__287.09991__.M.H..__5.7.4..Trihydroxy.8.methylflavanone",0.81875,0.17681,2.9517,0.012081,0.39228,-3.1642
"X1.008__357.02609000000001__.M.H.H2O..__w.o.MS2..E..1.4.bis.4.hydroxy.3.methoxyphenyl..2.3.dimethylbut.2.ene.1.4.dione",-1.0779,0.27128,-2.9148,0.012939,0.39228,-3.196
"X0.701__277.14312999999999__.M.H..__w.o.MS2.3.7.Epoxycaryophyllan.6.Ol",3.6971,-3.6966,2.9007,0.013283,0.39228,-3.2082
"X5.028__313.17541999999997__.M.H..__w.o.MS2.m.z.313.of.diterpene.esters..collected.from.12.deoxyphorbol.13.acetate.",0.7902,-0.032384,2.8356,0.014991,0.39699,-3.2646
"X5.073__511.68524000000002__.M.2H.2.__Unknown",-3.4696,-1.6087,-2.7371,0.017998,0.39699,-3.3506
"X4.019__162.0925__.M.H..__w.o.MS2.Tryptophol",-0.81705,-0.34736,-2.7039,0.01914,0.39699,-3.3797
"X6.969__335.29126000000002__.M.H..__w.o.MS2.arachidic.acid",1.3477,0.53439,2.663,0.020646,0.39699,-3.4156
"X1.161__98.983879999999999__.M.H..__Unknown",1.2049,0.20778,2.5593,0.024998,0.39699,-3.5069
"X1.997__282.12006000000002__.M.H..__w.o.MS2.N..6.methoxypyridin.3.yl..1.methyl.1H.indole.6.carboxamide",-0.63993,-0.8899,-2.5529,0.025295,0.39699,-3.5125
"X3.811__500.19774999999998__.M.H..__w.o.MS2.N..4.5.dihydroxy.2...4..hydroxy.phenyl.methyl..5.oxo.3.phenyl.2H.furan.2.yl.oxy..6..methoxymethyl.oxan.3.yl.acetamide",-1.3695,-0.51473,-2.4979,0.027986,0.39699,-3.5611
"X0.603__246.18407999999999__.M.H..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1031",1.0918,-1.0106,2.4881,0.028495,0.39699,-3.5698
"X1.641__174.05601999999999__.M.H..__w.o.MS2.4.Quinolinecarboxylic.acid",-1.4303,-0.46539,-2.4655,0.029701,0.39699,-3.5897
"X5.675__231.14333999999999__.M.Na..__w.o.MS2.lindenenol",0.67464,0.06595,2.4523,0.030426,0.39699,-3.6014
"X5.375__325.10736000000003__.M.K..__w.o.MS2.NCGC00169103.03_C19H18O6_Benz.3.4.anthra.1.2.b.oxirene.5.6.dione..1a.2.3.4.5b.11.11a.11b.octahydro.10.11.11a.trihydroxy.3.methyl.",-1.2543,-2.5061,-2.4493,0.030595,0.39699,-3.604
"X3.686__212.03371999999999__.M.Na..__w.o.MS2.alpha.cyano.4.hydroxycinnamic.acid..MALDI.TOFTOF..MS2..CE",-0.98502,-0.12929,-2.448,0.030667,0.39699,-3.6052
"X6.489__540.42609000000004__.M.H..__Unknown",1.4709,-0.43641,2.4438,0.030905,0.39699,-3.6089
"X3.992__114.03863__.M.H..__Unknown",-0.70256,-0.14396,-2.4402,0.031111,0.39699,-3.6121
"X5.415__369.20459__.M.H..__w.o.MS2..1R.4aS.10aR..7..2.hydroxypropan.2.yl..1.4a.dimethyl.9.oxo.3.4.10.10a.tetrahydro.2H.phenanthrene.1.carboxylic.acid",0.80348,0.11518,2.429,0.031753,0.39699,-3.622
"X5.824__227.16176999999999__.M.H..__w.o.MS2.NCGC00381386.01.2..7.hydroxy.6.methyloctyl..2H.furan.5.one",0.5258,-0.29247,2.393,0.033909,0.39699,-3.6537
