"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X1.198__177.95758000000001__.M.H..__Unknown",-2.1673,0.45139,-5.9775,0.00029802,0.13202,-1.0651
"X0.853__100.07642__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",2.2327,-0.67345,3.7777,0.0051432,0.61152,-2.3646
"X6.14__286.32269000000002__.M.H..__Unknown",1.1112,-0.32362,3.6973,0.0057834,0.61152,-2.4279
"X6.489__540.42609000000004__.M.H..__Unknown",2.4873,-0.28244,3.6478,0.0062191,0.61152,-2.4674
"X6.783__325.24169999999998__.M.H..__w.o.MS2.C19H32O4..PlaSMA.ID.1756",1.3799,-0.17736,3.4886,0.0078721,0.61152,-2.5975
"X5.392__274.28564__.M.H..__Unknown",2.0095,-0.36605,3.2916,0.010587,0.61152,-2.765
"X1.088__177.94945__.M.H..__Unknown",-1.7179,-0.55894,-3.1559,0.01302,0.61152,-2.8842
"X1.008__357.02609000000001__.M.H.H2O..__w.o.MS2..E..1.4.bis.4.hydroxy.3.methoxyphenyl..2.3.dimethylbut.2.ene.1.4.dione",-1.4001,0.30253,-3.1078,0.014017,0.61152,-2.9273
"X0.705__381.08652000000001__.M.K..__w.o.MS2.Excavatin.L",1.667,-3.1639,2.8333,0.021442,0.61152,-3.1794
"X0.908__130.05080000000001__.M.H..__w.o.MS2.Pyroglutamic.acid..not.validated..isomer.of.88...PlaSMA.ID.89",1.3587,-1.7806,2.8247,0.021732,0.61152,-3.1875
"X6.866__303.23259999999999__.M.H..__w.o.MS2.Kaurenic.acid",1.0078,0.59373,2.7669,0.023787,0.61152,-3.242
"X1.585__152.05681999999999__.M.CH3OH.H..__w.o.MS2.Guanine..CE0..UYTPUPDQBNUYGX.UHFFFAOYSA.N",1.3988,-0.74551,2.7622,0.023962,0.61152,-3.2464
"X4.724__446.16519__.M.2H.2.__w.o.MS2.1..3..2.3.dihydrobenzo.b..1.4.dioxin.6.yl..7.hydroxy.2.methyl.4.oxo.6.propyl.4H.chromen.8.yl..N.N.dimethylmethanaminium.chloride",4.801,-0.66659,2.7485,0.024482,0.61152,-3.2594
"X6.781__337.24032999999997__.M.H..__w.o.MS2.bis.2..pyridin.3.yl.piperidin.1.yl.methane",0.98159,-0.10329,2.6994,0.026443,0.61152,-3.3062
"X1.011__77.006039999999999__.M.H..__Unknown",-0.91905,-0.15865,-2.626,0.029673,0.61152,-3.3765
"X0.603__246.18407999999999__.M.H..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1031",1.3072,-1.0786,2.6078,0.030535,0.61152,-3.3941
"X5.375__325.10736000000003__.M.K..__w.o.MS2.NCGC00169103.03_C19H18O6_Benz.3.4.anthra.1.2.b.oxirene.5.6.dione..1a.2.3.4.5b.11.11a.11b.octahydro.10.11.11a.trihydroxy.3.methyl.",-2.7831,-3.476,-2.6076,0.030546,0.61152,-3.3943
"X5.824__227.16176999999999__.M.H..__w.o.MS2.NCGC00381386.01.2..7.hydroxy.6.methyloctyl..2H.furan.5.one",0.88129,-0.21773,2.5995,0.030938,0.61152,-3.4021
"X1.086__162.06247999999999__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.300",-1.9567,-1.5902,-2.5758,0.032115,0.61152,-3.425
"X1.164__186.99564000000001__.M.H..__w.o.MS2.D.....3.PHOSPHOGLYCERIC.ACID",1.2129,-0.5091,2.5689,0.032463,0.61152,-3.4316
"X5.271__207.09741__.M.H..__w.o.MS2.3.methyl.6..2.methylpropyl.piperazine.2.5.dione",-1.8528,-0.090017,-2.568,0.032512,0.61152,-3.4326
"X6.271__328.31873000000002__.M.H..__w.o.MS2.Stearoyl.Ethanolamide",-1.8138,-2.2278,-2.5511,0.033389,0.61152,-3.4489
"X3.923__241.10565__.M.H..__w.o.MS2.NCGC00169556.02.3..3.4.5.trimethoxyphenyl.propanoic.acid",0.94214,-0.076833,2.4696,0.03797,0.61152,-3.5283
"X2.497__176.07837000000001__.M.H..__w.o.MS2.allantonin",-0.92754,0.27266,-2.4591,0.038602,0.61152,-3.5385
"X5.415__369.20459__.M.H..__w.o.MS2..1R.4aS.10aR..7..2.hydroxypropan.2.yl..1.4a.dimethyl.9.oxo.3.4.10.10a.tetrahydro.2H.phenanthrene.1.carboxylic.acid",0.96014,0.039272,2.438,0.039912,0.61152,-3.5592
"X7.023__376.31873000000002__.M.Na..__w.o.MS2.N..3.Methoxybenzyl.palmitamide",2.5164,-1.588,2.4298,0.040428,0.61152,-3.5671
"X7.034__351.32303000000002__.M.H..__Unknown",-1.5315,-0.30734,-2.4284,0.040522,0.61152,-3.5686
"X5.159__540.68871999999999__.M.2H.2.__Unknown",-2.9092,-0.81959,-2.4181,0.041182,0.61152,-3.5786
"X1.008__337.05840999999998__.M.K..__w.o.MS2.Velutin",-1.2484,0.48838,-2.4108,0.041664,0.61152,-3.5858
"X5.679__393.28789999999998__.M.H..__Unknown",-2.0803,-0.3517,-2.3438,0.046314,0.61152,-3.6516
"X5.678__376.26067999999998__.M.H..__Unknown",-2.1607,-0.64498,-2.34,0.046589,0.61152,-3.6553
"X6.81__392.30063000000001__.M.K..__Unknown",2.0334,-0.82294,2.2958,0.049958,0.61152,-3.6988
"X4.651__114.03719__.M.H..__Unknown",-1.06,-0.14689,-2.2585,0.052987,0.61152,-3.7356
"X4.771__392.11380000000003__.M.2H.2.__w.o.MS2..MLS001140588.01.N..3..3.4.dimethoxyphenyl..4.oxochromen.2.yl.furan.2.carboxamide.",3.3915,-0.7686,2.247,0.053956,0.61152,-3.7469
"X0.726__292.12484999999998__.M.H..__w.o.MS2.Cyproconazole..LC.ESI.ITFT..MS2..CE",-1.3575,0.99569,-2.2346,0.055018,0.61152,-3.7591
"X7.018__282.23043999999999__.M.H..__w.o.MS2.MLS001148462.01.alverine",-1.1208,-0.18382,-2.2276,0.055635,0.61152,-3.7661
"X0.936__258.10955999999999__.M.H..__w.o.MS2.sn.Glycero.3.phosphocholine..LC.ESI.QTOF..MS2..CE",1.884,-0.9203,2.2215,0.056167,0.61152,-3.772
"X1.005__148.09650999999999__.M.H..__w.o.MS2.Mevalonic.Acid.Lactone",1.0912,-1.935,2.2048,0.057665,0.61152,-3.7885
"X1.008__323.06787000000003__.M.H..__w.o.MS2.3.4.DIMETHOXYDALBERGIONE",-1.076,0.24766,-2.198,0.058289,0.61152,-3.7953
"X0.581__233.99332000000001__.M.K..__Unknown",-0.86902,0.21795,-2.1927,0.058775,0.61152,-3.8005
"X0.729__115.05598999999999__.M.H..__w.o.MS2.Diallyl.Sulfide",-1.3113,0.60672,-2.1713,0.060794,0.61152,-3.8216
"X0.859__98.984960000000001__.M.H..__Unknown",1.4196,-0.7955,2.1558,0.062301,0.61152,-3.837
"X2.379__329.06792999999999__.M.H..__w.o.MS2.aflatoxin.G1",-1.0821,0.78932,-2.1523,0.062638,0.61152,-3.8404
"X7.638__562.37445000000002__.M.2H.2.__w.o.MS2.Rhodoxanthin..FAB.EBEB..MS2..m.z",-0.87037,0.27768,-2.1522,0.062651,0.61152,-3.8405
"X3.439__287.09991__.M.H..__5.7.4..Trihydroxy.8.methylflavanone",1.3726,0.25215,2.0819,0.069973,0.61152,-3.9098
"X1.009__517.02832000000001__.M.K..__w.o.MS2.Isorhamnetin.3.galactoside",-1.0293,0.20808,-2.0789,0.070307,0.61152,-3.9128
"X1.008__472.12173000000001__.M.H..__Unknown",-3.2432,-0.15645,-2.0564,0.07283,0.61152,-3.9349
