"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X6.698__371.10924999999997__.M.H..__w.o.MS2.Chelerythrine",-2.5817,-4.1529,-5.6705,0.00068503,0.13454,0.036226
"X1.198__177.95758000000001__.M.H..__Unknown",3.0162,0.29226,5.3301,0.00099075,0.13454,-0.28293
"X5.958__332.33548000000002__.M.H..__Unknown",-2.3631,0.51145,-5.0117,0.0014191,0.13454,-0.59931
"X4.339__514.21056999999996__.M.H..__w.o.MS2.4..7.acetyloxy.5.chloro.3...1E.3E..3.5.dimethylhepta.1.3.dienyl..7.methyl.6.8.dioxoisoquinolin.2.yl.butanoic.acid",3.6075,0.10751,4.9613,0.001504,0.13454,-0.65097
"X1.609__276.14343000000002__.M.H.H2O..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1286",2.3574,0.3056,4.953,0.0015185,0.13454,-0.65953
"X0.72__161.07374999999999__.M.H..__w.o.MS2.MLS001048867.01.1H.indole.3.carboxamide",2.8077,0.88338,4.4669,0.0027126,0.18598,-1.182
"X6.442__411.09656__.M.Na..__Unknown",-2.5591,-2.3743,-4.3658,0.0030739,0.18598,-1.296
"X6.442__427.07104__.M.K..__Unknown",-2.4513,-2.0826,-4.2949,0.0033586,0.18598,-1.3771
"X0.695__325.11284999999998__.M.H.H2O..__w.o.MS2.Disaccharide.Hex.Hex...PlaSMA.ID.1741",-1.6807,-1.7644,-4.1074,0.0042607,0.20972,-1.5958
"X6.81__392.30063000000001__.M.K..__Unknown",-3.3258,-0.37394,-4.018,0.0047811,0.2118,-1.7023
"X1.611__294.15420999999998__.M.H..__w.o.MS2.N.Fructosyl.isoleucine..PlaSMA.ID.1496",2.2349,0.34201,3.8913,0.005641,0.22718,-1.8556
"X0.853__100.07642__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",-1.8364,-1.0057,-3.5683,0.0086927,0.29445,-2.2588
"X5.992__207.13354000000001__.M.H..__w.o.MS2.Ibuprofen",-1.2423,0.090883,-3.5124,0.0093836,0.29445,-2.3304
"X0.705__381.08652000000001__.M.K..__w.o.MS2.Excavatin.L",-2.9282,-2.7242,-3.4667,0.0099907,0.29445,-2.3892
"X7.023__376.31873000000002__.M.Na..__w.o.MS2.N..3.Methoxybenzyl.palmitamide",-3.1355,-1.5755,-3.4437,0.010313,0.29445,-2.419
"X0.708__365.11212__.M.Na..__Melibiose",-2.4579,-2.7891,-3.4215,0.010635,0.29445,-2.4478
"X6.676__485.12228__.M.Na..__Hispiduloside",-2.6757,-5.0365,-3.1187,0.016268,0.3618,-2.8471
"X1.164__186.99564000000001__.M.H..__w.o.MS2.D.....3.PHOSPHOGLYCERIC.ACID",-1.7843,-0.44717,-3.1109,0.016449,0.3618,-2.8576
